text,stance
"U.S. officials are not yet ready to give the seal of approval to CVS Health's $69 billion deal to acquire Aetna,... https://t.co/Q40hieXvZu",0
Humana shares still have room to fall if #Aetna buyout blocked. Read more: https://t.co/FtSPD5hoKc $AET,0
#AetnaHumana #Merger: Why Investors Are Uncertain And Wary $AET $HUM Also $ANTM $CI http://t.co/0hgFbXcIO3,0
$CVS $AET No way in hell does the government let this go through. Why are they even wasting their time .,0
"Your move, Bob Iger: The Disney CEO's takeover of 21st Century Fox is being challenged by a bidding war for Sky… https://t.co/s4AhyDrzdP",0
The #AetnaHumana antitrust challenge will go to trial on Dec. 5th w/ a decision expected in January. https://t.co/0Gc4mqBqdx,0
"@MuseZack Not Fox, our overlords and conquerors Disney",0
Ruling on Anthem-Cigna Merger Unlikely in 2016 - A federal judge said she wouldn't be able to rule by the end o... https://t.co/xITUh4qAW6,0
U.S. says Anthem-Cigna/Aetna-Humana mergers will quash competition/lead to higher consumer prices/reduce benefits: https://t.co/jv7aliEMSA,0
CVS expects U.S. Justice Department (of AT&amp;T/Time Warner antitrust lawsuit fame) to handle review of Aetna deal… https://t.co/amygfUExsf,0
"Still think ANTM/CI gets killed, AET/HUM will be approved...U.S. Antitrust Watchdogs Turn to Insurers https://t.co/pOdgV5Qvp3 via @business",0
"According to The Wall Street Journal, it is not just Disney that plans a 20st Century Fox acquisition; Now also the… https://t.co/aU9VpzjFQn",0
This deal is certainly going to get the DOJ’s attention and is also going to put the CVS/Aetna deal in the hot seat. https://t.co/aWIVJQMTk3,0
@BloombergBNA reports “CVS’s alleged anticompetitive conduct comes at a time when the company is facing review by t… https://t.co/r5Y89acC5R,0
"State Regulator Cites Price, Access As Top Concerns In Proposed Anthem-Cigna Merger https://t.co/4c1bSeHHfZ via @CalHealthline",0
Anthem-Cigna rift resurfaces as first phase of trial ends https://t.co/JSM2EzZAAQ https://t.co/Y6Va6JgF28,0
"Anthem's Cigna takeover bid blocked by federal judge

A federal judge has blocked Anthem's attempt to acquire Cigna… https://t.co/W8mVhRIElw",0
Wall Street Hates The Anthem-Cigna Deal: The Two Companies Have Already Lost $3B In Value,0
"I find it more interesting how many people are just assuming the Disney/Fox buyout is a done deal.

People seems to… https://t.co/fi4wHjeqiN",0
Welp... #Aetna buyout of #Humana killed by judge. $1B fee owed to Humana. $AET shares fall. $HUM,0
"According to @stmuchmore, @TheJusticeDept is asking for more information on @CVSHealth's bid to acquire @Aetna.… https://t.co/KbrJD9mJh7",0
Aetna needs investigating. It may be attempting to monopolize the health insurance market via buyout of Humana. https://t.co/LZdErX9bZS,0
Market is turning negative two big insurance deals. First $ANTM $CI. Now $AET $HUM. NI TOPCHART @TheTerminal https://t.co/lTjMsDo7wm,0
"Still think ANTM/CI gets killed, AET/HUM will be approved...U.S. Antitrust Watchdogs Turn to Insurers https://t.co/pOdgV5Qvp3 via @business",0
Cigna raises consumers/small biz premiums ~ 20%. Wastes BILLIONS of healthcare $$ on failed Anthem-Cigna merger. Press ignoring this.,0
Disney: Rival Bidder Offered $34.41/Share For Fox Assets,0
