feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant
type_token_ratio,whole,ALL,FAVOR,whole,0.0372,0.0634,-0.2197,-0.1178,small,negligible,False,Cliff's delta,negligible,yes
hapax_legomena,whole,ALL,FAVOR,whole,0.0766,0.1279,-0.1944,-0.0966,small,negligible,False,Cliff's delta,negligible,no
stopword_ratio,whole,ALL,FAVOR,whole,0.275,0.279,-0.1146,-0.0687,small,negligible,False,Cliff's delta,negligible,no
punctuation_density,whole,ALL,FAVOR,whole,0.9886,0.9546,0.0015,-0.0036,small,negligible,False,Cliff's delta,negligible,no
noun_ratio,whole,ALL,FAVOR,whole,0.328,0.5997,0.0975,0.0333,small,negligible,False,Cliff's delta,negligible,no
verb_ratio,whole,ALL,FAVOR,whole,0.6115,0.6759,-0.054,-0.0265,small,negligible,True,Cohen's d,small,no
adj_ratio,whole,ALL,FAVOR,whole,0.0293,0.0166,-0.2471,-0.1517,small,small,False,Cliff's delta,small,yes
adv_ratio,whole,ALL,FAVOR,whole,0.0172,0.0058,-0.2616,-0.1717,small,small,False,Cliff's delta,small,yes
pronoun_ratio,whole,ALL,FAVOR,whole,0.0016,0.026,0.2867,0.1404,small,negligible,False,Cliff's delta,negligible,yes
avg_dependency_depth,whole,ALL,FAVOR,whole,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,whole,ALL,FAVOR,whole,0.6579,0.6114,-0.0478,-0.0323,small,negligible,False,Cliff's delta,negligible,no
punctuation_usage,whole,ALL,FAVOR,whole,0.7207,0.6746,-0.0384,-0.0266,small,negligible,False,Cliff's delta,negligible,no
readability_score,whole,ALL,FAVOR,whole,0.9564,0.8508,0.006,0.012,small,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,whole,ALL,FAVOR,whole,0.4853,0.9659,-0.0914,0.0027,small,negligible,False,Cliff's delta,negligible,no
subordinate_clause_ratio,whole,ALL,FAVOR,whole,0.2998,0.3883,0.1084,0.054,small,negligible,False,Cliff's delta,negligible,no
sentiment_polarity,whole,ALL,FAVOR,whole,0.0001,0.0005,0.3921,0.2188,medium,small,False,Cliff's delta,small,yes
sentiment_subjectivity,whole,ALL,FAVOR,whole,0.6946,0.6919,-0.0431,-0.0251,small,negligible,False,Cliff's delta,negligible,no
anger,whole,ALL,FAVOR,whole,0.0006,0.0003,-0.4944,-0.2291,medium,small,False,Cliff's delta,small,yes
joy,whole,ALL,FAVOR,whole,0.0,0.0,0.4621,0.4095,medium,medium,False,Cliff's delta,medium,yes
fear,whole,ALL,FAVOR,whole,0.7564,0.5951,-0.0338,-0.0337,small,negligible,False,Cliff's delta,negligible,no
sadness,whole,ALL,FAVOR,whole,0.0588,0.2929,0.1434,0.0668,small,negligible,False,Cliff's delta,negligible,no
disgust,whole,ALL,FAVOR,whole,0.0461,0.0116,-0.4306,-0.1601,medium,small,False,Cliff's delta,small,yes
surprise,whole,ALL,FAVOR,whole,0.5087,0.0015,-0.0984,0.2015,small,small,False,Cliff's delta,small,yes
certainty_adverbs_count,whole,ALL,FAVOR,whole,0.1044,0.1112,0.1599,0.0764,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,whole,ALL,FAVOR,whole,0.0499,0.1048,0.194,0.0949,small,negligible,False,Cliff's delta,negligible,yes
certainty_adjectives_count,whole,ALL,FAVOR,whole,0.0025,0.0448,0.2645,0.1118,small,negligible,False,Cliff's delta,negligible,yes
doubt_adverbs_count,whole,ALL,FAVOR,whole,0.9099,0.4912,-0.014,0.0351,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,whole,ALL,FAVOR,whole,0.3144,0.4361,0.0857,0.0121,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,whole,ALL,FAVOR,whole,0.448,0.3992,0.0802,0.0342,small,negligible,False,Cliff's delta,negligible,no
hedges_score,whole,ALL,FAVOR,whole,0.2591,0.2241,-0.1369,-0.0475,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,whole,ALL,FAVOR,whole,0.1437,0.2415,0.1555,0.0743,small,negligible,False,Cliff's delta,negligible,no
hedge_D_count,whole,ALL,FAVOR,whole,0.378,0.5228,0.0796,0.0142,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,whole,ALL,FAVOR,whole,0.7224,0.8569,-0.0448,-0.0038,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,whole,ALL,FAVOR,whole,0.2556,0.0554,-0.2112,-0.0167,small,negligible,False,Cliff's delta,negligible,no
hedge_N_count,whole,ALL,FAVOR,whole,0.1583,0.2749,-0.2159,-0.0321,small,negligible,False,Cliff's delta,negligible,no
C_ratio,whole,ALL,FAVOR,whole,0.3105,0.6473,0.1338,0.0177,small,negligible,False,Cliff's delta,negligible,no
D_ratio,whole,ALL,FAVOR,whole,0.4746,0.5291,0.0609,0.014,small,negligible,False,Cliff's delta,negligible,no
E_ratio,whole,ALL,FAVOR,whole,0.97,0.8704,0.0038,-0.0034,small,negligible,False,Cliff's delta,negligible,no
I_ratio,whole,ALL,FAVOR,whole,0.266,0.0554,-0.1983,-0.0167,small,negligible,False,Cliff's delta,negligible,no
N_ratio,whole,ALL,FAVOR,whole,0.1667,0.273,-0.2099,-0.0322,small,negligible,False,Cliff's delta,negligible,no
word_count,whole,ALL,NONE,whole,0.0008,0.0018,-0.5949,-0.2779,medium,small,False,Cliff's delta,small,yes
sentence_count,whole,ALL,NONE,whole,0.0,0.0,-0.8121,-0.3763,large,medium,False,Cliff's delta,medium,yes
avg_word_length,whole,ALL,NONE,whole,0.0,0.0,0.6902,0.3829,medium,medium,False,Cliff's delta,medium,yes
std_word_length,whole,ALL,NONE,whole,0.0,0.0,0.8067,0.4201,large,medium,False,Cliff's delta,medium,yes
type_token_ratio,whole,ALL,NONE,whole,0.0012,0.0286,-0.4011,-0.1942,medium,small,False,Cliff's delta,small,yes
hapax_legomena,whole,ALL,NONE,whole,0.0254,0.0408,-0.3012,-0.1815,medium,small,False,Cliff's delta,small,yes
stopword_ratio,whole,ALL,NONE,whole,0.0,0.0,-0.8226,-0.4571,large,medium,False,Cliff's delta,medium,yes
punctuation_density,whole,ALL,NONE,whole,0.0,0.0,0.9159,0.4957,large,large,False,Cliff's delta,large,yes
noun_ratio,whole,ALL,NONE,whole,0.0,0.0001,0.6253,0.3443,medium,medium,False,Cliff's delta,medium,yes
verb_ratio,whole,ALL,NONE,whole,0.0,0.0,-0.8435,-0.4552,large,medium,False,Cliff's delta,medium,yes
adj_ratio,whole,ALL,NONE,whole,0.5795,0.9461,0.076,0.0061,small,negligible,False,Cliff's delta,negligible,no
adv_ratio,whole,ALL,NONE,whole,0.0378,0.0006,-0.2823,-0.2792,small,small,False,Cliff's delta,small,yes
pronoun_ratio,whole,ALL,NONE,whole,0.3489,0.1162,-0.1324,-0.1317,small,negligible,False,Cliff's delta,negligible,no
avg_dependency_depth,whole,ALL,NONE,whole,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,whole,ALL,NONE,whole,0.0,0.0,-0.6491,-0.378,medium,medium,False,Cliff's delta,medium,yes
punctuation_usage,whole,ALL,NONE,whole,0.0411,0.0026,-0.32,-0.2563,medium,small,False,Cliff's delta,small,yes
readability_score,whole,ALL,NONE,whole,0.0,0.0012,0.608,0.2875,medium,small,False,Cliff's delta,small,yes
sentence_length_variation,whole,ALL,NONE,whole,0.0001,0.0,-0.7255,-0.3897,large,medium,False,Cliff's delta,medium,yes
subordinate_clause_ratio,whole,ALL,NONE,whole,0.0006,0.0001,-0.6507,-0.3126,medium,small,False,Cliff's delta,small,yes
sentiment_polarity,whole,ALL,NONE,whole,0.1554,0.1469,0.2403,0.1174,small,negligible,False,Cliff's delta,negligible,no
sentiment_subjectivity,whole,ALL,NONE,whole,0.3679,0.1452,-0.1353,-0.121,small,negligible,False,Cliff's delta,negligible,no
anger,whole,ALL,NONE,whole,0.8598,0.2259,-0.0304,0.1078,small,negligible,False,Cliff's delta,negligible,no
joy,whole,ALL,NONE,whole,0.0,0.0,0.5522,0.3994,medium,medium,False,Cliff's delta,medium,yes
fear,whole,ALL,NONE,whole,0.0016,0.0011,-0.5376,-0.2906,medium,small,False,Cliff's delta,small,yes
sadness,whole,ALL,NONE,whole,0.7357,0.0211,0.0531,0.205,small,small,False,Cliff's delta,small,yes
disgust,whole,ALL,NONE,whole,0.5398,0.0737,-0.1441,0.1591,small,small,False,Cliff's delta,small,no
surprise,whole,ALL,NONE,whole,0.626,0.0004,0.083,0.3138,small,small,False,Cliff's delta,small,yes
certainty_adverbs_count,whole,ALL,NONE,whole,0.0662,0.0167,-0.3144,-0.126,medium,negligible,False,Cliff's delta,negligible,yes
certainty_verbs_count,whole,ALL,NONE,whole,0.0,0.0,-0.8531,-0.35,large,medium,False,Cliff's delta,medium,yes
certainty_adjectives_count,whole,ALL,NONE,whole,0.8259,0.9651,0.032,0.0025,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,whole,ALL,NONE,whole,0.0062,0.0003,-0.5492,-0.2091,medium,small,False,Cliff's delta,small,yes
doubt_verbs_count,whole,ALL,NONE,whole,0.3187,0.5774,0.087,0.0057,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,whole,ALL,NONE,whole,0.8718,0.6584,0.026,0.0193,small,negligible,False,Cliff's delta,negligible,no
hedges_score,whole,ALL,NONE,whole,0.0427,0.0169,-0.3796,-0.1207,medium,negligible,False,Cliff's delta,negligible,yes
hedge_C_count,whole,ALL,NONE,whole,0.0,0.0,-0.8465,-0.5395,large,large,False,Cliff's delta,large,yes
hedge_D_count,whole,ALL,NONE,whole,0.7024,0.5316,-0.0593,-0.0188,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,whole,ALL,NONE,whole,0.8117,0.6129,-0.0356,-0.0125,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,whole,ALL,NONE,whole,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
hedge_N_count,whole,ALL,NONE,whole,0.1322,0.0523,-0.3192,-0.0611,medium,negligible,False,Cliff's delta,negligible,no
C_ratio,whole,ALL,NONE,whole,0.2486,0.0652,0.1963,0.0887,small,negligible,False,Cliff's delta,negligible,no
D_ratio,whole,ALL,NONE,whole,0.9843,0.5476,0.0027,-0.0181,small,negligible,False,Cliff's delta,negligible,no
E_ratio,whole,ALL,NONE,whole,0.4695,0.6217,0.0739,-0.0122,small,negligible,False,Cliff's delta,negligible,no
I_ratio,whole,ALL,NONE,whole,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
N_ratio,whole,ALL,NONE,whole,0.1,0.0488,-0.3966,-0.062,medium,negligible,False,Cliff's delta,negligible,yes
word_count,covid,ALL,AGAINST,overall,0.1237,0.1641,0.3692,0.2032,medium,small,False,Cliff's delta,small,no
sentence_count,covid,ALL,AGAINST,overall,0.0007,0.0049,0.7312,0.4006,large,medium,False,Cliff's delta,medium,yes
avg_word_length,covid,ALL,AGAINST,overall,0.6137,0.5413,-0.1422,-0.0896,small,negligible,True,Cohen's d,small,no
std_word_length,covid,ALL,AGAINST,overall,0.8855,0.876,-0.0387,-0.0234,small,negligible,False,Cliff's delta,negligible,no
type_token_ratio,covid,ALL,AGAINST,overall,0.0113,0.0288,-0.5237,-0.3188,medium,small,False,Cliff's delta,small,yes
hapax_legomena,covid,ALL,AGAINST,overall,0.0532,0.0694,-0.4466,-0.2649,medium,small,True,Cohen's d,medium,no
stopword_ratio,covid,ALL,AGAINST,overall,0.371,0.4838,-0.2056,-0.1026,small,negligible,True,Cohen's d,small,no
punctuation_density,covid,ALL,AGAINST,overall,0.7295,0.9396,0.0794,-0.0117,small,negligible,False,Cliff's delta,negligible,no
noun_ratio,covid,ALL,AGAINST,overall,0.5626,0.6364,0.1445,0.0695,small,negligible,True,Cohen's d,small,no
verb_ratio,covid,ALL,AGAINST,overall,0.9679,0.6049,-0.0112,-0.076,small,negligible,True,Cohen's d,small,no
adj_ratio,covid,ALL,AGAINST,overall,0.2991,0.4216,-0.3217,-0.1175,medium,negligible,False,Cliff's delta,negligible,no
adv_ratio,covid,ALL,AGAINST,overall,0.4275,0.3438,0.2039,0.137,small,negligible,False,Cliff's delta,negligible,no
pronoun_ratio,covid,ALL,AGAINST,overall,0.2603,0.1791,-0.263,-0.1948,small,small,False,Cliff's delta,small,no
avg_dependency_depth,covid,ALL,AGAINST,overall,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,covid,ALL,AGAINST,overall,0.0815,0.0953,-0.4458,-0.2435,medium,small,True,Cohen's d,medium,no
punctuation_usage,covid,ALL,AGAINST,overall,0.0578,0.0552,0.3363,0.2799,medium,small,False,Cliff's delta,small,no
readability_score,covid,ALL,AGAINST,overall,0.0508,0.0224,-0.4295,-0.3331,medium,medium,False,Cliff's delta,medium,yes
sentence_length_variation,covid,ALL,AGAINST,overall,0.9449,0.357,-0.0244,0.1338,small,negligible,False,Cliff's delta,negligible,no
subordinate_clause_ratio,covid,ALL,AGAINST,overall,0.2807,0.3581,0.2549,0.1318,small,negligible,False,Cliff's delta,negligible,no
sentiment_polarity,covid,ALL,AGAINST,overall,0.3917,0.6883,-0.2315,-0.0584,small,negligible,False,Cliff's delta,negligible,no
sentiment_subjectivity,covid,ALL,AGAINST,overall,0.2655,0.2925,-0.2493,-0.1532,small,small,False,Cliff's delta,small,no
anger,covid,ALL,AGAINST,overall,0.1907,0.3201,0.3074,0.1455,medium,negligible,False,Cliff's delta,negligible,no
joy,covid,ALL,AGAINST,overall,0.4919,0.8901,-0.274,-0.0208,small,negligible,False,Cliff's delta,negligible,no
fear,covid,ALL,AGAINST,overall,0.9231,0.7516,0.0258,0.0468,small,negligible,False,Cliff's delta,negligible,no
sadness,covid,ALL,AGAINST,overall,0.8636,0.7047,-0.0502,0.0558,small,negligible,False,Cliff's delta,negligible,no
disgust,covid,ALL,AGAINST,overall,0.6454,0.7247,0.0724,-0.0519,small,negligible,False,Cliff's delta,negligible,no
surprise,covid,ALL,AGAINST,overall,0.6972,0.834,-0.1251,-0.0312,small,negligible,False,Cliff's delta,negligible,no
certainty_adverbs_count,covid,ALL,AGAINST,overall,0.6101,0.7051,-0.1516,-0.037,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,covid,ALL,AGAINST,overall,0.5127,0.7228,0.1412,0.0448,small,negligible,False,Cliff's delta,negligible,no
certainty_adjectives_count,covid,ALL,AGAINST,overall,0.9341,0.8555,-0.0207,-0.0214,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,covid,ALL,AGAINST,overall,0.3019,0.6375,0.2009,0.0571,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,covid,ALL,AGAINST,overall,0.6557,0.5925,-0.1376,-0.024,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,covid,ALL,AGAINST,overall,0.1361,0.2642,0.2946,0.1104,small,negligible,False,Cliff's delta,negligible,no
hedges_score,covid,ALL,AGAINST,overall,0.0463,0.0912,0.4191,0.187,medium,small,False,Cliff's delta,small,yes
hedge_C_count,covid,ALL,AGAINST,overall,0.1722,0.225,0.3181,0.1773,medium,small,False,Cliff's delta,small,no
hedge_D_count,covid,ALL,AGAINST,overall,0.0133,0.2035,0.3229,0.0779,medium,negligible,False,Cliff's delta,negligible,yes
hedge_E_count,covid,ALL,AGAINST,overall,0.0133,0.2035,0.3229,0.0779,medium,negligible,False,Cliff's delta,negligible,yes
hedge_I_count,covid,ALL,AGAINST,overall,0.3205,0.6283,0.1274,0.013,small,negligible,False,Cliff's delta,negligible,no
hedge_N_count,covid,ALL,AGAINST,overall,0.8117,0.8743,0.0514,-0.0143,small,negligible,False,Cliff's delta,negligible,no
C_ratio,covid,ALL,AGAINST,overall,0.2222,0.3387,-0.2431,-0.1045,small,negligible,False,Cliff's delta,negligible,no
D_ratio,covid,ALL,AGAINST,overall,0.0146,0.2038,0.3183,0.0779,medium,negligible,False,Cliff's delta,negligible,yes
E_ratio,covid,ALL,AGAINST,overall,0.0335,0.2038,0.2759,0.0779,small,negligible,False,Cliff's delta,negligible,yes
I_ratio,covid,ALL,AGAINST,overall,0.3205,0.6283,0.1274,0.013,small,negligible,False,Cliff's delta,negligible,no
N_ratio,covid,ALL,AGAINST,overall,0.8949,0.8448,0.0287,-0.0175,small,negligible,False,Cliff's delta,negligible,no
word_count,covid,ALL,FAVOR,overall,0.6592,0.5766,0.1234,0.0829,small,negligible,True,Cohen's d,small,no
sentence_count,covid,ALL,FAVOR,overall,0.9836,0.795,0.0049,-0.0379,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,covid,ALL,FAVOR,overall,0.7921,0.6378,0.0744,0.07,small,negligible,True,Cohen's d,small,no
std_word_length,covid,ALL,FAVOR,overall,0.6407,0.8347,0.1157,0.0314,small,negligible,False,Cliff's delta,negligible,no
type_token_ratio,covid,ALL,FAVOR,overall,0.3499,0.6799,-0.1945,-0.0614,small,negligible,False,Cliff's delta,negligible,no
hapax_legomena,covid,ALL,FAVOR,overall,0.4361,0.6104,-0.1818,-0.0757,small,negligible,True,Cohen's d,small,no
stopword_ratio,covid,ALL,FAVOR,overall,0.786,0.8499,-0.074,-0.0286,small,negligible,False,Cliff's delta,negligible,no
punctuation_density,covid,ALL,FAVOR,overall,0.4174,0.6943,0.1776,0.0586,small,negligible,False,Cliff's delta,negligible,no
noun_ratio,covid,ALL,FAVOR,overall,0.4466,0.6103,-0.2521,-0.0757,small,negligible,False,Cliff's delta,negligible,no
verb_ratio,covid,ALL,FAVOR,overall,0.2065,0.25,0.3009,0.17,medium,small,True,Cohen's d,medium,no
adj_ratio,covid,ALL,FAVOR,overall,0.0574,0.0367,-0.5067,-0.3079,medium,small,False,Cliff's delta,small,yes
adv_ratio,covid,ALL,FAVOR,overall,0.9691,0.752,-0.0107,0.0471,small,negligible,False,Cliff's delta,negligible,no
pronoun_ratio,covid,ALL,FAVOR,overall,0.5668,0.5086,-0.1734,-0.0979,small,negligible,True,Cohen's d,small,no
avg_dependency_depth,covid,ALL,FAVOR,overall,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,covid,ALL,FAVOR,overall,0.5975,0.8195,-0.1529,-0.0343,small,negligible,False,Cliff's delta,negligible,no
punctuation_usage,covid,ALL,FAVOR,overall,0.8525,0.6035,-0.0427,-0.0771,small,negligible,False,Cliff's delta,negligible,no
readability_score,covid,ALL,FAVOR,overall,0.4929,0.4906,0.1749,0.1021,small,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,covid,ALL,FAVOR,overall,0.6118,0.8573,0.1149,0.0271,small,negligible,False,Cliff's delta,negligible,no
subordinate_clause_ratio,covid,ALL,FAVOR,overall,0.1173,0.0836,0.4219,0.255,medium,small,False,Cliff's delta,small,no
sentiment_polarity,covid,ALL,FAVOR,overall,0.1927,0.3078,0.2326,0.15,small,small,False,Cliff's delta,small,no
sentiment_subjectivity,covid,ALL,FAVOR,overall,0.5574,0.5464,0.1381,0.0893,small,negligible,False,Cliff's delta,negligible,no
anger,covid,ALL,FAVOR,overall,0.4563,0.8651,-0.2219,-0.0257,small,negligible,False,Cliff's delta,negligible,no
joy,covid,ALL,FAVOR,overall,0.4815,0.6241,-0.3198,-0.0729,medium,negligible,False,Cliff's delta,negligible,no
fear,covid,ALL,FAVOR,overall,0.4014,0.6036,0.2065,0.0771,small,negligible,False,Cliff's delta,negligible,no
sadness,covid,ALL,FAVOR,overall,0.4465,0.8881,0.1406,-0.0214,small,negligible,False,Cliff's delta,negligible,no
disgust,covid,ALL,FAVOR,overall,0.8803,0.8651,-0.0435,0.0257,small,negligible,False,Cliff's delta,negligible,no
surprise,covid,ALL,FAVOR,overall,0.5546,0.5768,-0.1658,-0.0829,small,negligible,False,Cliff's delta,negligible,no
certainty_adverbs_count,covid,ALL,FAVOR,overall,0.5745,0.4332,0.1468,0.0907,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,covid,ALL,FAVOR,overall,0.3969,0.7342,0.1801,0.0457,small,negligible,False,Cliff's delta,negligible,no
certainty_adjectives_count,covid,ALL,FAVOR,overall,0.336,0.3493,-0.2863,-0.1207,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,covid,ALL,FAVOR,overall,0.6254,0.5489,-0.1786,0.0771,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,covid,ALL,FAVOR,overall,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
doubt_adjectives_count,covid,ALL,FAVOR,overall,0.2273,0.3312,0.2486,0.0786,small,negligible,False,Cliff's delta,negligible,no
hedges_score,covid,ALL,FAVOR,overall,0.4976,0.5153,0.1679,0.0793,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,covid,ALL,FAVOR,overall,0.7043,0.7449,0.1024,0.0486,small,negligible,True,Cohen's d,small,no
hedge_D_count,covid,ALL,FAVOR,overall,0.0012,0.0761,0.4577,0.1429,medium,negligible,False,Cliff's delta,negligible,yes
hedge_E_count,covid,ALL,FAVOR,overall,0.4452,0.6011,0.1542,0.0364,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,covid,ALL,FAVOR,overall,0.3299,0.0652,-0.4812,-0.05,medium,negligible,False,Cliff's delta,negligible,no
