feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score,median_lr_coef,median_xgb_coef,linear_occurrences,_merge,mi_rank
sentiment_subjectivity,0.0208902975878406,0.0208031972749766,0.0266001966168099,0.0,0.0621930328617039,13,0.9958305853472078,,0.0205134861171245,13,both,22
adv_ratio,0.0206939554997316,0.0157717454658162,0.0219720997620151,0.0,0.050972398203795,13,0.7621426201491928,,0.027673527598381,13,both,23
certainty_verbs_count,0.0205093580139665,0.0168374983699672,0.0179056949218168,0.0,0.0516920656980737,13,0.8209666220903229,,0.0185578912496566,13,both,24
hedges_score,0.0197574689667727,0.0209956732895364,0.0134064402396909,0.0,0.0596801677242175,13,1.062670189427912,,0.0361178275197744,13,both,25
doubt_adverbs_count,0.0193499406783229,0.0219841537722152,0.0142324216290647,0.0,0.0722769077907408,13,1.1361354609651806,,0.025045833550393547,13,both,26
readability_score,0.0186976863706316,0.0174363938514698,0.0147722695828902,0.0,0.054223448800909,13,0.9325428561502188,,0.0180179644376039,13,both,27
hedge_E_count,0.0151772455052241,0.0193205134926587,0.0086580470178905,0.0,0.0636467543382039,13,1.2729920910884924,,,13,both,28
N_ratio,0.0147065852980255,0.015683786466607,0.0083360891829795,0.0,0.0448696494844658,13,1.0664465033030264,,,13,both,29
certainty_adjectives_count,0.0132273674982493,0.0202408443322652,0.0089000131909953,0.0,0.0779390710463439,13,1.53022469020719,,0.0514917895197868,13,both,30
certainty_adverbs_count,0.0131513007067897,0.0162321908146095,0.0046720071510213,0.0,0.0451386709775605,13,1.2342650492532072,,0.040159633383154855,13,both,31
hedge_N_count,0.0128899592664052,0.0199293011654257,0.0,0.0,0.0527570793697622,13,1.5461104844114584,,0.0309043321758508,13,both,32
hedge_D_count,0.0116647979500687,0.0176673013695775,0.0031301552205686,0.0,0.0631209775818573,13,1.514582716751935,,,13,both,33
hedge_I_count,0.0111729532009549,0.0111142452570564,0.0112441698760341,0.0,0.0343608290388091,13,0.9947455303139064,,,13,both,34
E_ratio,0.0106170126275786,0.0113865360727444,0.0037585351883266,0.0,0.026902015197092,13,1.0724802232189876,,0.057308508083224255,13,both,35
D_ratio,0.0104340082698975,0.0130805721971393,0.0,0.0,0.0343535374802204,13,1.2536478655932557,,0.061485454440116855,13,both,36
avg_dependency_depth,0.0102188590829924,0.0148812355130376,0.0,0.0,0.0504653319389365,13,1.4562521502821135,,,13,both,37
I_ratio,0.0101734161641306,0.0148104348958677,0.0,0.0,0.0452305601204452,13,1.455797605929687,,,13,both,38
doubt_verbs_count,0.0088238897212042,0.0113938547595743,0.0030321530500279,0.0,0.035827567192592,13,1.291250811101396,,,13,both,39
doubt_adjectives_count,0.0086965148392131,0.0143033864622013,0.0,0.0,0.0508894657664171,13,1.6447262756002474,,0.027066646143794,13,both,40
avg_word_length,0.0073328912610817,0.0101905336070049,0.0029661676537313,0.0,0.0348025717927871,13,1.3897019939583382,,0.0247282013297081,13,both,41
sadness,0.0043083829861913,0.0094771021979945,0.0,0.0,0.0268892826199735,13,2.199688892182792,,0.0216164868324995,13,both,42
adj_ratio,0.0035073862335922,0.0063442633489964,0.0,0.0,0.0217953741204923,13,1.8088294035694708,,0.0227698758244514,13,both,43
C_ratio,0.0011519644119881,0.0029594293153134,0.0,0.0,0.0105679318940965,13,2.5690284218118693,,0.03776891157031055,13,both,44
