feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
fear,0.173071,0.125703,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7263,0.173071,-0.017852055384846067,0.25203479662464695,0.6080691642651297,0.3919308357348703,Negative,0.07083170623902342
certainty_adjectives_count,0.168424,0.069947,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4153,0.168424,0.01144802541896709,0.2518239563747952,0.19423631123919308,0.805763688760807,Positive,0.04546042850396829
hedge_C_count,0.157938,0.108868,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6893,0.157938,-0.00553544736311686,0.2616544353035395,0.5031700288184437,0.4968299711815562,Negative,0.021155563998522215
N_ratio,0.149862,0.084993,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5671,0.149862,0.005185961879901505,0.4315221956999258,0.04380403458213256,0.9561959654178674,Positive,0.012017833176139602
joy,0.147842,0.072716,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4918,0.147842,-0.021422214728318463,0.22735326562481317,0.23890489913544669,0.7610951008645533,Negative,0.09422435049350333
C_ratio,0.131989,0.098971,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7498,0.131989,-0.009438689892920215,0.23459189872011657,0.14380403458213256,0.8561959654178675,Negative,0.040234507423617866
hedge_N_count,0.109395,0.066789,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6105,0.109395,-0.0052700045697379625,0.3176864424286936,0.9561959654178674,0.04380403458213256,Negative,0.016588697847985327
sentiment_subjectivity,0.10405,0.082009,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7882,0.10405,-0.00963260196821199,0.15099238052499114,0.5219020172910663,0.4780979827089337,Negative,0.06379528090601144
punctuation_density,0.103551,0.072342,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6986,0.103551,-0.007967444879870608,0.1480700837344511,0.48703170028818443,0.5129682997118156,Negative,0.05380860293206421
anger,0.098158,0.044475,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4531,0.098158,-0.009451968674361518,0.18105034504440243,0.7605187319884726,0.2394812680115274,Negative,0.0522062973698308
certainty_verbs_count,0.097359,0.070342,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7225,0.097359,-0.00554362860461531,0.16495651491520655,0.5135446685878963,0.48645533141210373,Negative,0.03360660396710546
sentiment_polarity,0.087633,0.06116,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6979,0.087633,0.00019225341270442817,0.1583879093225878,0.4054755043227666,0.5945244956772334,Positive,0.0012138136136056355
adv_ratio,0.083171,0.058965,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.709,0.083171,-0.0008332411490133695,0.12488860079084899,0.5060518731988473,0.49394812680115274,Negative,0.006671874590780731
sentence_count,0.08077,0.069851,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8648,0.08077,-0.009018381181818389,0.14956462711744345,0.5847262247838617,0.41527377521613834,Negative,0.06029754997992498
hedge_E_count,0.072654,0.055261,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7606,0.072654,0.0005101551050066514,0.17068919821622314,0.6556195965417867,0.34438040345821325,Positive,0.0029887953101311753
hedges_score,0.07233,0.0506,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6996,0.07233,-5.262158920694566e-05,0.1189145323230593,0.3561959654178674,0.6438040345821325,Negative,0.0004425160134240499
pronoun_ratio,0.070638,0.053756,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.761,0.070638,0.004773146899591728,0.11867222345411238,0.4031700288184438,0.5968299711815562,Positive,0.04022126120544774
subordinate_clause_ratio,0.069724,0.054519,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7819,0.069724,0.0002565826047966415,0.10925173433786015,0.5613832853025936,0.4386167146974063,Positive,0.002348544696944718
hedge_D_count,0.069599,0.051874,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7453,0.069599,0.015881230498778594,0.18483109281314036,0.9146974063400576,0.08530259365994236,Positive,0.08592293319179144
sadness,0.064574,0.032321,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5005,0.064574,0.006110194139778903,0.11822423208370755,0.2829971181556196,0.7170028818443804,Positive,0.05168308996603792
punctuation_usage,0.057005,0.032447,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5692,0.057005,0.0019610477767982725,0.09593331494137304,0.45878962536023055,0.5412103746397694,Positive,0.020441778474755378
readability_score,0.055618,0.037655,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.677,0.055618,-0.0035448445757003595,0.08207242039796174,0.4832853025936599,0.51671469740634,Negative,0.043191660811209454
sentence_length_variation,0.055113,0.040303,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7313,0.055113,-0.0005059743412308896,0.08957383097970723,0.5239193083573487,0.4760806916426513,Negative,0.005648684210667232
E_ratio,0.050344,0.034734,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6899,0.050344,-0.0033448142002192225,0.13818202873623317,0.676657060518732,0.323342939481268,Negative,0.024205853603042605
doubt_adverbs_count,0.050323,0.027068,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5379,0.050323,0.002518231729128222,0.08158544013415517,0.35878962536023057,0.6412103746397695,Positive,0.030866186617679543
doubt_adjectives_count,0.048718,0.043112,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8849,0.048718,-0.0007737665211855702,0.1182595294685452,0.7832853025936599,0.21671469740634006,Negative,0.006542952261296244
surprise,0.046245,0.030922,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6687,0.046245,-0.004265707774869224,0.07419907061605481,0.4438040345821326,0.5561959654178674,Negative,0.057490035448582534
certainty_adverbs_count,0.038391,0.031196,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8126,0.038391,-0.002732206043047001,0.0793008725966516,0.792507204610951,0.207492795389049,Negative,0.03445366499820477
I_ratio,0.035378,0.041416,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1707,0.035378,0.012232460653329839,0.41078009509391433,0.31786743515850147,0.6037463976945245,Positive,0.029778610262863634
doubt_verbs_count,0.031061,0.025067,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.807,0.031061,-0.005371564013795622,0.10913046282157407,0.24697406340057637,0.7530259365994236,Negative,0.04922148575840968
disgust,0.030114,0.024322,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8077,0.030114,-0.0022302230422105193,0.23391395815215354,0.3579250720461095,0.6420749279538905,Negative,0.009534373085235468
D_ratio,0.029939,0.020137,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6726,0.029939,0.0029205401930928448,0.07754176739579971,0.5262247838616715,0.4737752161383285,Positive,0.03766408626649619
hedge_I_count,0.021687,0.025871,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1929,0.021687,-0.006518729657857167,0.23718199013732189,0.7832853025936599,0.16080691642651296,Negative,0.027484082493962447
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
