feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
avg_word_length,0.293276,0.180698,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6161,0.293276,-0.025540295049705106,0.40101050328344234,0.4656934306569343,0.5343065693430656,Negative,0.0636898390533036
hedge_C_count,0.29131,0.355707,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.2211,0.29131,-0.03559381097522628,0.5017364264702604,0.4145985401459854,0.5109489051094891,Negative,0.07094125199602887
word_count,0.247993,0.219771,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8862,0.247993,-0.05510005040527008,0.3853988565398652,0.4737226277372263,0.5262773722627737,Negative,0.14296889583501304
sentiment_subjectivity,0.247252,0.163154,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6599,0.247252,-0.06195091657088321,0.3279441840754959,0.454014598540146,0.545985401459854,Negative,0.1889068862631595
stopword_ratio,0.241617,0.15476,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6405,0.241617,-0.0488706580480438,0.34610787446020336,0.4481751824817518,0.5518248175182482,Negative,0.14120064939943058
fear,0.238023,0.189434,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7959,0.238023,-0.025041985951353284,0.3413822495707716,0.5291970802919708,0.4708029197080292,Negative,0.07335467866092162
sadness,0.235727,0.110862,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4703,0.235727,-0.02545909771510949,0.3057847929551017,0.48175182481751827,0.5182481751824818,Negative,0.08325821776972887
sentence_length_variation,0.223335,0.203579,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9115,0.223335,-0.04871314903851532,0.3295191721744745,0.5051094890510949,0.4948905109489051,Negative,0.14783099641441383
adv_ratio,0.214627,0.123272,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5744,0.214627,-0.03869883274014599,0.27881617998949576,0.5306569343065694,0.46934306569343065,Negative,0.13879693550652114
subordinate_clause_ratio,0.202039,0.088484,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.438,0.202039,-0.010901204679635037,0.25974991323048907,0.4583941605839416,0.5416058394160584,Negative,0.04196807661791628
sentiment_polarity,0.201672,0.176362,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8745,0.201672,-0.03591038046524088,0.3405253131744268,0.5846715328467154,0.4153284671532847,Negative,0.10545582962958251
type_token_ratio,0.198805,0.114553,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5762,0.198805,-0.030543733432802922,0.26451857754587454,0.5430656934306569,0.4569343065693431,Negative,0.11546913854401944
punctuation_usage,0.19121,0.115981,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6066,0.19121,-0.01701966968122117,0.2578607143382714,0.5036496350364964,0.49635036496350365,Negative,0.06600334240469335
adj_ratio,0.18522,0.104173,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5624,0.18522,-0.020995682660737224,0.25206539306865056,0.44306569343065694,0.5569343065693431,Negative,0.08329458309286104
certainty_verbs_count,0.138575,0.447015,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3.2258,0.138575,-0.037862776968401464,0.46633070658999437,0.26277372262773724,0.2905109489051095,Negative,0.0811929723293159
pronoun_ratio,0.118651,0.102908,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8673,0.118651,-0.045727395809941604,0.19364035187535109,0.3627737226277372,0.48832116788321167,Negative,0.23614599439437603
hapax_legomena,0.114287,0.064334,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5629,0.114287,-0.02074337320852555,0.1579047706911648,0.46277372262773725,0.5372262773722628,Negative,0.13136634063724836
sentence_count,0.082904,0.084651,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0211,0.082904,-0.012327562255963504,0.14342906619803827,0.5175182481751824,0.33357664233576645,Negative,0.08594883675428786
doubt_adjectives_count,0.034316,0.07027,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2.0477,0.034316,-0.007965420907956204,0.09694219603172398,0.38394160583941606,0.16934306569343066,Negative,0.08216669739648333
C_ratio,0.028664,0.027603,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.963,0.028664,0.009258119673328466,0.06326751043945689,0.6036496350364964,0.09854014598540146,Positive,0.1463328989190894
doubt_adverbs_count,0.022492,0.023324,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.037,0.022492,5.3408105839415866e-05,0.04632633255897349,0.3883211678832117,0.23941605839416058,Positive,0.0011528668763658015
certainty_adjectives_count,0.016324,0.022961,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.4066,0.016324,-0.00046213403997299307,0.038622524042062525,0.24379562043795622,0.23503649635036497,Negative,0.011965399252925718
hedges_score,0.01178,0.012426,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0548,0.01178,0.00013041839094890515,0.027346550747891763,0.36423357664233574,0.18905109489051095,Positive,0.004769096638924129
E_ratio,0.003093,0.006245,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2.0191,0.003093,-0.0011023007496350364,0.015487304891094962,0.01167883211678832,0.24379562043795622,Negative,0.07117442612785302
hedge_N_count,0.002899,0.010453,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3.6057,0.002899,0.0005255307722627738,0.020123233200305617,0.07007299270072993,0.004379562043795621,Positive,0.026115610045143834
certainty_adverbs_count,0.000571,0.002061,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3.6095,0.000571,0.00034173154248175175,0.003782823678581096,0.072992700729927,0.00145985401459854,Positive,0.09033744846269105
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
N_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
D_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
I_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
hedge_E_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
hedge_D_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
hedge_I_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
doubt_verbs_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
