feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
subordinate_clause_ratio,0.180946,0.052796,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2918,0.180946
hapax_legomena,0.180027,0.062801,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3488,0.180027
hedge_C_count,0.169406,0.053089,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3134,0.169406
sentiment_polarity,0.157817,0.054417,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3448,0.157817
pronoun_ratio,0.141825,0.105848,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7463,0.141825
sentence_length_variation,0.110669,0.065251,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5896,0.110669
adv_ratio,0.106507,0.053425,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5016,0.106507
sentence_count,0.083045,0.060027,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7228,0.083045
certainty_adjectives_count,0.078559,0.069601,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.886,0.078559
certainty_verbs_count,0.041318,0.03735,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.904,0.041318
doubt_adverbs_count,0.039473,0.033943,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8599,0.039473
hedges_score,0.03871,0.031613,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8167,0.03871
C_ratio,0.023891,0.019278,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8069,0.023891
N_ratio,0.020048,0.031073,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.5499,0.020048
doubt_adjectives_count,0.012832,0.017509,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.3645,0.012832
certainty_adverbs_count,0.011691,0.009516,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.814,0.011691
E_ratio,0.009699,0.009459,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9753,0.009699
hedge_N_count,0.004746,0.006682,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.4079,0.004746
hedge_E_count,0.004688,0.010226,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2.1813,0.004688
doubt_verbs_count,0.00286,0.005712,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.9972,0.00286
D_ratio,0.001043,0.002638,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2.5292,0.001043
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
I_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
hedge_D_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
hedge_I_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
