feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
doubt_adverbs_count,0.022492,0.023324,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.037,0.022492
certainty_adjectives_count,0.016324,0.022961,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.4066,0.016324
hedges_score,0.01178,0.012426,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0548,0.01178
E_ratio,0.003093,0.006245,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2.0191,0.003093
hedge_N_count,0.002899,0.010453,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3.6057,0.002899
certainty_adverbs_count,0.000571,0.002061,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3.6095,0.000571
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
N_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
D_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
I_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
hedge_E_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
hedge_D_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
hedge_I_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
doubt_verbs_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
