dataset,subdataset,sentence,flag,Bert,Distilbert,Roberta,Status,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
SemEval_2014,ambience_ambience,"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available.",explicit,True,True,True,Correct,28.0,1.0,5.535714285714286,3.1564236414146993,0.9642857142857143,0.9285714285714286,0.10714285714285714,0.32142857142857145,0.35714285714285715,0.07142857142857142,0.25,0.03571428571428571,0.0,1.0,0.16666666666666666,0.03571428571428571,15.440869565217394,0.0,0.03571428571428571,0.06000000000000001,0.48999999999999994,0.004537274595350027,0.14507484436035156,0.0014009110163897276,0.004967158194631338,0.008845950476825237,0.020400168374180794,0.0,1.0,0.0,0.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Also get the Onion Rings -- best we've ever had.,explicit,True,True,True,Correct,12.0,1.0,3.25,1.1636866703140785,1.0,1.0,0.25,0.3333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,0.5833333333333334,0.08333333333333333,3.653333333333336,0.0,0.08333333333333333,1.0,0.3,0.008489465340971947,0.14701241254806519,0.0007551251910626888,0.008721216581761837,0.006694675423204899,0.12769058346748352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Also, the chick peas with shrimp (appetizer) is divine.",explicit,True,True,True,Correct,13.0,1.0,3.6153846153846154,2.3709284626803755,1.0,1.0,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,1.0,0.3076923076923077,0.07692307692307693,6.2755555555555596,0.0,0.0,0.0,0.0,0.005695314612239599,0.3788154125213623,0.0016539462376385927,0.008119733072817326,0.08672288060188293,0.009714284911751747,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Although somewhat loud, the noise was minimally intrusive.",explicit,True,True,True,Correct,10.0,1.0,5.1,3.014962686336267,1.0,1.0,0.2,0.2,0.1,0.1,0.2,0.2,0.0,1.0,0.3,0.1,9.655000000000001,0.0,0.2,0.0,0.7,0.02568640187382698,0.049714840948581696,0.054613180458545685,0.011919530108571053,0.607232391834259,0.00598832918331027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"And as SOON as one person is done, she asked to pick up the plate immediately.",implicit,True,True,True,Correct,18.0,1.0,3.5,2.266911751455907,0.9444444444444444,0.8888888888888888,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.0,0.1111111111111111,0.05555555555555555,1.0,0.5555555555555556,0.05555555555555555,6.137499999999999,0.0,0.16666666666666666,0.0,0.0,0.09125369787216187,0.032217539846897125,0.0034535573795437813,0.007331401575356722,0.011323405429720879,0.1965341567993164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"And the food, well the food will keep you coming back.",explicit,True,True,True,Correct,13.0,1.0,3.3846153846153846,1.2733034890189885,0.8461538461538461,0.6923076923076923,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,1.0,0.6153846153846154,0.07692307692307693,1.572727272727274,0.0,0.07692307692307693,0.0,0.0,0.011647752486169338,0.08948741853237152,0.0024196268059313297,0.012085841968655586,0.009670481085777283,0.013972784392535686,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"And these are not small, wimpy fast food type burgers - these are real, full sized patties.",explicit,True,True,True,Correct,20.0,1.0,3.75,1.7571283390805579,0.85,0.7,0.3,0.2,0.2,0.15,0.2,0.1,0.0,1.0,0.35,0.05,4.662500000000001,0.0,0.05,0.28333333333333327,0.6083333333333334,0.015928667038679123,0.04460784047842026,0.005454520229250193,0.002808753401041031,0.009720616973936558,0.14455950260162354,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"And, the honey BBQ rib tips are yummy!",explicit,True,True,True,Correct,10.0,1.0,3.1,1.3,1.0,1.0,0.3,0.2,0.4,0.1,0.1,0.0,0.0,1.0,0.3,0.1,5.230000000000004,0.0,0.0,0.0,0.0,0.0023154206573963165,0.9160947203636169,0.0005626590573228896,0.0025004995986819267,0.004076446406543255,0.007165119983255863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Another friend had to ask 3 times for parmesan cheese.,explicit,True,True,True,Correct,11.0,1.0,4.090909090909091,2.3141676475196102,1.0,1.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.0,1.0,0.36363636363636365,0.09090909090909091,4.830000000000002,0.0,0.09090909090909091,0.0,0.0,0.23149250447750092,0.0024119047448039055,0.003716222709044814,0.040704816579818726,0.6123189926147461,0.01748443767428398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Another great thing about Glechik-everything is very cheap!,implicit,True,True,True,Correct,9.0,1.0,5.777777777777778,4.637474834379823,1.0,1.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,1.0,0.45454545454545453,0.1111111111111111,8.180000000000003,0.0,0.0,0.7250000000000001,0.83,0.0032021489460021257,0.9441791772842407,0.001046656514517963,0.0021308320574462414,0.0023724709171801805,0.016049612313508987,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,explicit,True,True,True,Correct,27.0,1.0,4.296296296296297,2.81286482163667,0.9259259259259259,0.8518518518518519,0.48148148148148145,0.037037037037037035,0.2962962962962963,0.07407407407407407,0.1111111111111111,0.0,0.1111111111111111,1.0,0.5185185185185185,0.037037037037037035,12.250000000000004,0.0,0.037037037037037035,0.475,0.7000000000000001,0.005952050909399986,0.36319297552108765,0.0050851828418672085,0.0039043291471898556,0.007468941155821085,0.02208206057548523,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Anywhere else, the prices would be 3x as high!",explicit,True,True,True,Correct,11.0,1.0,3.4545454545454546,2.1046976186891317,1.0,1.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,1.0,0.5454545454545454,0.09090909090909091,3.653333333333336,0.0,0.0,0.2,0.5399999999999999,0.08266673237085342,0.015806371346116066,0.005703884642571211,0.0145384781062603,0.027636153623461723,0.48776841163635254,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111
SemEval_2014,ambience_ambience,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,explicit,True,True,True,Correct,19.0,1.0,3.789473684210526,2.8391797808970898,1.0,1.0,0.47368421052631576,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.10526315789473684,1.0,0.5263157894736842,0.05263157894736842,8.353333333333339,0.0,0.05263157894736842,0.9,0.875,0.00527558708563447,0.22594866156578064,0.0014357465552166104,0.004840125795453787,0.011029877699911594,0.013203062117099762,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Average cake thats been courted by a LOT of hype.,explicit,True,True,True,Correct,11.0,1.0,3.6363636363636362,2.0123585110162416,1.0,1.0,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.0,1.0,0.4166666666666667,0.09090909090909091,3.650000000000002,0.0,0.0,-0.15,0.39999999999999997,0.019828829914331436,0.05338413268327713,0.0008543128496967256,0.012548859231173992,0.013534175232052803,0.08795472979545593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"BEST spicy tuna roll, great asian salad.",explicit,True,True,True,Correct,9.0,1.0,3.7777777777777777,1.547598697464902,1.0,1.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.1111111111111111,5.682857142857145,0.0,0.0,0.6,0.35000000000000003,0.005654427222907543,0.45583030581474304,0.001469898852519691,0.005050725769251585,0.01216916460543871,0.01173027977347374,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Be sure to accompany your food with one of their fresh juice concoctions.,explicit,True,True,True,Correct,14.0,1.0,4.357142857142857,2.6351238208138166,1.0,1.0,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,1.0,0.5,0.07142857142857142,5.818461538461541,0.0,0.07142857142857142,0.4,0.6944444444444444,0.005984661169350147,0.024589885026216507,0.0030267341062426567,0.004966317676007748,0.04269394278526306,0.004626129288226366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",explicit,True,True,True,Correct,26.0,1.0,3.3076923076923075,1.6354070481130232,0.6538461538461539,0.4230769230769231,0.34615384615384615,0.38461538461538464,0.34615384615384615,0.07692307692307693,0.038461538461538464,0.0,0.0,1.0,0.34615384615384615,0.23076923076923078,2.399210526315791,0.0,0.038461538461538464,0.5,0.8888888888888888,0.009825046174228191,0.03814387321472168,0.002344385487958789,0.008561919443309307,0.010741043835878372,0.024286935105919838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Best Chinese on the Upper East, prompt delivery, good value.",explicit,True,True,True,Correct,13.0,1.0,3.923076923076923,2.2000537917038603,0.9230769230769231,0.8461538461538461,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.0,0.23076923076923078,0.0,0.0,1.0,0.15384615384615385,0.07692307692307693,7.190000000000001,0.0,0.0,0.425,0.22500000000000003,0.010592907667160034,0.10780592262744904,0.001101157278753817,0.0036004844587296247,0.009395932778716087,0.010741605423390865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Best Indian food I have ever eaten.,explicit,True,True,True,Correct,8.0,1.0,3.625,1.653594569415369,1.0,1.0,0.25,0.125,0.125,0.25,0.25,0.125,0.125,1.0,0.375,0.125,5.682857142857145,0.0,0.0,1.0,0.3,0.008876281790435314,0.36357563734054565,0.004054203629493713,0.0069548022001981735,0.05705178901553154,0.10611684620380402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Best things to order are from the grill (Churrasco and Ribs).,explicit,True,True,True,Correct,14.0,1.0,3.642857142857143,2.12492496866336,1.0,1.0,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.0,0.07142857142857142,0.0,1.0,0.35714285714285715,0.07142857142857142,3.7181818181818187,0.0,0.0,1.0,0.3,0.008012632839381695,0.044549815356731415,0.0009144868818111718,0.0026225761976093054,0.010899918153882027,0.010063953697681427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,explicit,True,True,True,Correct,24.0,1.0,4.083333333333333,1.8911342863183696,0.875,0.7916666666666666,0.4166666666666667,0.041666666666666664,0.3333333333333333,0.16666666666666666,0.0,0.041666666666666664,0.08333333333333333,1.0,0.5,0.041666666666666664,8.771304347826089,0.0,0.16666666666666666,0.0,0.0,0.06028752774000168,0.00345159275457263,0.2092379480600357,0.051115889102220535,0.3859822452068329,0.004781860858201981,0.0,1.0,0.0,0.0,0.0,0.0,0.9219474196434021,22.0,0.0,0.0,0.0,1.0,0.9565217391304348,0.0,0.0,0.0,0.043478260869565216
SemEval_2014,ambience_ambience,Both a number of the appetizer and pasta specials were amazing.,explicit,True,True,True,Correct,12.0,1.0,4.416666666666667,2.5317429218272185,1.0,1.0,0.5,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1.0,0.5,0.08333333333333333,9.081818181818182,0.0,0.0,0.6000000000000001,0.9,0.002185678342357278,0.8057830333709717,0.002032793127000332,0.002247192896902561,0.0031137377955019474,0.08332508057355881,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix.",explicit,True,True,True,Correct,19.0,1.0,4.315789473684211,2.053306231908543,1.0,1.0,0.15789473684210525,0.15789473684210525,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,1.0,0.21052631578947367,0.05263157894736842,7.612500000000001,0.0,0.0,-0.6,0.95,0.006709140259772539,0.05597971752285957,0.0021154212299734354,0.0036889908369630575,0.012197964824736118,0.011848543770611286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.,explicit,True,True,True,Correct,23.0,1.0,3.608695652173913,1.374903330507991,0.9565217391304348,0.9130434782608695,0.4782608695652174,0.043478260869565216,0.2608695652173913,0.13043478260869565,0.13043478260869565,0.0,0.13043478260869565,1.0,0.5652173913043478,0.043478260869565216,6.399090909090912,0.0,0.17391304347826086,0.16666666666666666,0.4962962962962963,0.02236177958548069,0.0018497020937502384,0.010970494709908962,0.020781900733709335,0.03740013763308525,0.00908726081252098,1.0,0.0,1.0,1.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",explicit,True,True,True,Correct,19.0,1.0,5.526315789473684,3.544728050627944,0.8947368421052632,0.8421052631578947,0.3157894736842105,0.21052631578947367,0.3157894736842105,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.0,1.0,0.3157894736842105,0.05263157894736842,17.006666666666664,0.0,0.0,0.35833333333333334,0.5583333333333333,0.005542105995118618,0.3218519389629364,0.0019391935784369707,0.0040984624065458775,0.014436742290854454,0.010330725461244583,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Coffee is a better deal than overpriced Cosi sandwiches.,explicit,True,True,True,Correct,10.0,1.0,4.8,3.0919249667480613,1.0,1.0,0.3,0.1,0.4,0.2,0.1,0.0,0.0,1.0,0.3,0.1,8.89777777777778,0.0,0.2,0.5,0.5,0.010293848812580109,0.14925746619701385,0.0011419199872761965,0.0071928296238183975,0.03516704589128494,0.026689380407333374,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Cool atmosphere but such a let down.,explicit,True,True,True,Correct,8.0,1.0,3.75,2.6339134382131846,1.0,1.0,0.5,0.125,0.25,0.0,0.0,0.125,0.0,1.0,0.5,0.125,2.3114285714285714,0.0,0.0,0.0648148148148148,0.47962962962962963,0.002833531005308032,0.0070588053204119205,0.002049015136435628,0.9008422493934631,0.022620301693677902,0.004846710246056318,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Could have had better for 1/3 the price in Chinatown.,explicit,True,True,True,Correct,11.0,1.0,4.0,2.088931871468374,1.0,1.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.0,1.0,0.5454545454545454,0.09090909090909091,3.650000000000002,0.0,0.0,0.5,0.5,0.010146400891244411,0.015450911596417427,0.003297580638900399,0.055316414684057236,0.011708500795066357,0.050833560526371,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",explicit,True,True,True,Correct,27.0,1.0,4.407407407407407,3.046057065918828,0.8518518518518519,0.7777777777777778,0.18518518518518517,0.3333333333333333,0.3333333333333333,0.0,0.18518518518518517,0.0,0.0,1.0,0.18518518518518517,0.037037037037037035,13.063333333333333,0.0,0.0,0.5333333333333333,0.5333333333333333,0.007750251796096563,0.5851224064826965,0.001986319199204445,0.00804992951452732,0.03907392919063568,0.005316596478223801,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.,explicit,True,True,True,Correct,29.0,1.0,5.793103448275862,3.346426919451475,0.9655172413793104,0.9310344827586207,0.27586206896551724,0.06896551724137931,0.4827586206896552,0.06896551724137931,0.13793103448275862,0.0,0.0,1.0,0.2903225806451613,0.034482758620689655,17.665714285714284,0.0,0.0,0.13333333333333333,0.8333333333333334,0.005135535262525082,0.6614652872085571,0.0015335011994466186,0.0035662890877574682,0.012009442783892155,0.03231804445385933,0.0,1.0,1.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
