dataset,subdataset,sentence,flag,Bert,BiGRU,BiLSTM,Distilbert,GRU,LSTM,RNN,Roberta,Smallbert,Status
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Although small, it has beautiful ambience, excellent food (the catfish is delicious - if ya don't mind it a lil salty) and attentive service.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Although somewhat loud, the noise was minimally intrusive.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"And all the [female] servers are cute too, which is always nice.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,And the food is fantastic.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"And these are not small, wimpy fast food type burgers - these are real, full sized patties.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Another great thing about Glechik-everything is very cheap!,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Anywhere else, the prices would be 3x as high!",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Atmosphere is a bore.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Average cake thats been courted by a LOT of hype.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"BEST spicy tuna roll, great asian salad.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Best Indian food I have ever eaten.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Bobb V's is a great place to take your Friends and Family!,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Both a number of the appetizer and pasta specials were amazing.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"But dinner here is never disappointing, even if the prices are a bit over the top.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,But the meals were terrible.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Chef Vincenzo, always there if you need him, is a real talent and a real Roman.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Definitely something to come down and check out.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Dessert was also to die for!,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Desserts include flan and sopaipillas.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Didn't seem like any effort was made to the display and quality of the food.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Dieters stick to salads or indulge in vegetarian platters.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Dishes denoted as ""Roy's Classics"" (marked on the menu with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Do not go to this restaurant.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Don Pedro's is one of my favorite restaurants.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Even when the chef is not in the house, the food and service are right on target.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Every time I visit NYC, I come here.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Everything is very cheap.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Food is always fresh and hot- ready to eat!,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Food is excellent quality for a good restaurant price.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Food portion was SMALL and below average.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Food was decent, but not great.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"For a savory take on the soup and sandwich meal, try the hot and sour soup.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Generously garnished, organic grilled burgers are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Glechik might be way too tiny for a restaurant by Russian standards, but it is cozy and the food is simply GREAT.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Go spend your money somewhere that really wows you.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Good cake BUT: it was not the best cake i've ever had, and definately not worth standing outside on the sidewalk being herded like cattle by indifferent and overworked employees.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Good food at the right price, what more can you ask for.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Good service, great food, good value, and never have to wait in line!",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Great beer selection too, something like 50 beers.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Great burgers, grilled cheeses and french fries.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Great food but the service was dreadful!,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Great food, good wine and an excellent host.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Great food, great drinks, nice dining atmosphere.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Had dinner here on a Friday and the food was great.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Half a chicken with a mountain of rice and beans for $6.25.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Having moved I truly miss this place.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14).",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Horrible experience - stay away!,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Host and Hostess was quite rude.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"However, it was worth the visit.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"However, the food and service and dramatically lacking.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Huge portions, great and attentive service, and pretty good prices.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I came again weeks later with my boyfriend and again had a very nice experience.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I can't imagine how much worse it would have been if we'd gone at a prime time!,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I decided to try out this place after hearing about it in many magazines.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I didn't go there for food so I can't comment.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I discovered Applebees when I went away to college in VA.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I had to wait for my friend at the bar for a few minutes,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I have dined at Mammino several times now and each time it gets bettter.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I have eaten here several times before attending an afternoon performance.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I have gone back to Siam Square many times since and everytime I am very satisfied overall.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I have to say the place was awesome.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I highly recommend this restaurant!!,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I just had my first visit to this place and can't wait to go back and slowly work my way through the menu.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I ordered from here last week.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I read about this place in Time Out magazine.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I recently visited over this past summer after being away for a year.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I started going to dosa hut more after that.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I stumbled upon this resteraunt on my way home from the subway.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I think this a a wonderful place.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I trust the people at Go Sushi, it never disappoints.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I went for restaurant week.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I went there with a few friends and will return.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I went to Common Stock for brunch and I was so impressed.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I went to Kitchenette this weekend for brunch.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I would definitely come back to this restaurant.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I would definitely go back -- if only for some of those exotic martinis on the blackboard.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I would not recommend MEET at all, it is a rip off all the way from the time to step in!",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I'm looking forward to going back soon and eventually trying most everything on the menu!,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I've been coming here regularly since it opened, about 2 years ago.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"If this restaurant was in Manhattan, I would definitely go more often.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"If you' re in New York, you do not want to miss this place.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"If you're in the 'hood, definitely stop in.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"In fact, this was not a Nicoise salad and was barely eatable.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Intimate but charming interior with extremely friendly and attentive service.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It also has lots of other Korean dishes that are affordable and just as yummy.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"It has good music, nice tapas, an interesting selection of wines (primarily Spanish) and a lowkey hip neighborhood clientele.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It is bland and nothing extrodinary.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It was delicious and large!,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"It was good, but none of the flavors WOW.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It's a great find in Astoria.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It's eaten with black vinegar and shredded ginger.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"It's no-fuss, fast and delicious.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"It's traditional, simple italian food.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It's worthwhile to take a cab to Chelsea just for an awesome dinner at My Chelsea.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Meal was very expensive for what you get.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Menus feature seasonal picks, like sweet corn-foie gras brulee.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Most of the sandwiches are made with soy mayonaise which is actually pretty good.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,My boyfriend and I went here last night and LOVED it!,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,My first experience at Siam Square was very pleasant.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,My friend told me about this restaurant for a year before he finally took me this weekend.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"My friends and I go once a week (minimum, we live in the area) and everytime can't resist walking out ready to burst.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,My friends and I stop here for pizza before hitting the Kips Bay movie theater.,explicit,True,True,True,True,True,True,True,True,True,Correct
