"target"	"tweet"	"domain"	"stance"
"AET_HUM"	"""Log Muntazir The K Humein Toota Huwa Dekhein,
AsMT
Aur Hum They K Bardasht Karty Karty Pathar K Ho Gaye.
  BID_LUCK
 A___j
ph_ 032O3O26756"	"healthcare"	"unrelated"
"CVS_AET"	"CVS Pledges Aetna Will Remain in Hartford for at Least 10 Years https://t.co/4BiZCbqhss"	"healthcare"	"comment"
"CVS_AET"	"CHECK IT OUT! An article in the most recent issue of the HC Topics e-journal discusses the CVA and Aetna merger.… https://t.co/028W1VAG0e"	"healthcare"	"comment"
"CVS_AET"	"What Your #Disruption Threatened Business Can Learn From #CVS’s Acquisition of #Aetna | https://t.co/ajPWdO08ai"	"healthcare"	"comment"
"CVS_AET"	"CVS Health CEO Larry Merlo: Confident Aetna deal will close later this year https://t.co/2M2F95EY2p"	"healthcare"	"comment"
"ANTM_CI"	"5 financial considerations in the #Anthem/#Cigna-#DOJ trial - https://t.co/AnEQbJK2Ns"	"healthcare"	"comment"
"CVS_AET"	"$AET Let's rock.  It's still a $207 buyout price."	"healthcare"	"comment"
"CVS_AET"	"Reports: CVS buying insurance giant Aetna in $69 billion deal https://t.co/aBJlYs5uQ5 https://t.co/WLxAdkxI2F"	"healthcare"	"support"
"CVS_AET"	"Viewpoints: CVS’ Plans To Merge With Aetna Still Promising; Amazon Just Might Tackle Health Policy Problems… https://t.co/gpPXTRfuWD"	"healthcare"	"support"
"ANTM_CI"	"Reading is the fastest way for language acquisition #iflt14"	"healthcare"	"unrelated"
"ANTM_CI"	"DOJ urges appeals court to uphold decision to block Anthem-#Cigna deal . Read more: https://t.co/7kEafv3dY6 $CI"	"healthcare"	"refute"
"AET_HUM"	"Next @Yahoo victim? Aetna to buy Humana as health insurer landscape shifts: Aetna's acquisition o... http://t.co/SDLKP9BoYP @ArchiveTeam"	"healthcare"	"comment"
"CVS_AET"	"And @Aetna’s trying to merge with @cvspharmacy. https://t.co/9nBG6iyJNj"	"healthcare"	"comment"
"CVS_AET"	"Could the CVS/ Aetna merger lead to more convenient and affordable non-emergency care for patients?… https://t.co/eP0RUYzSbA"	"healthcare"	"comment"
"ANTM_CI"	"Sports Illustrated Swimsuit Edition 1997 Tyra Banks Naomi Campbell No label:  $3.00 (0 Bid... http://t.co/TggzlWP8Nm #antm #nexttopmodel"	"healthcare"	"unrelated"
"AET_HUM"	"Aetna, Humana and UnitedHealth to develop transparency tools - FierceHealthPayer: http://t.co/zhMQJ9GRbf"	"healthcare"	"unrelated"
"AET_HUM"	"AET Job Acquisition Program
Put yourself in a strong position to land an actuarial position.
https://t.co/hAgh2CZXW7 https://t.co/COyjZGpeJP"	"healthcare"	"unrelated"
"CVS_AET"	"$AET $181.61 Aetna–CVS preparing to merge $CVS https://t.co/zwNBfZjrcg"	"healthcare"	"support"
"AET_HUM"	"The takeover talk at @humana could have big ripples on the downtown real estate market via @DaSerchuk http://t.co/WGUM7UyhFJ"	"healthcare"	"comment"
"AET_HUM"	"For $ANTM $CI $AET $HUM the 2H is all about #DOJ #antitrust decisions. 
With deals in limbo, plan B taking shape. 
https://t.co/BHCxuVPq46"	"healthcare"	"unrelated"
"AET_HUM"	"#DOJ hits back at #Aetna, #Humana with trial accusations - https://t.co/IpvpPsDc3n"	"healthcare"	"refute"
"CVS_AET"	"@SerendipiDitty just like we debated in #HealthEcon :
DOJ should challenge pending mergers between #CVS &amp; #Aetna, a… https://t.co/BQZ63lAkjk"	"healthcare"	"comment"
"ANTM_CI"	"And the deal beat goes on. @AP's coverage of the latest health care mega deal $TEVA $ANTM $CI  http://t.co/sKPhOML5D2"	"healthcare"	"comment"
"ANTM_CI"	"@CarmelChatter @CI_Carmel Agreed!  I hope there is an agreement to replant."	"healthcare"	"unrelated"
"ANTM_CI"	"Anthem Shows Growth, but New Worries Over the Cigna Acquisition Overshadow Results: Anthem's revenue and prof... https://t.co/E4v4Irxjy5"	"healthcare"	"comment"
"CVS_AET"	"In acquiring Aetna, CVS embarks on another pivotal moment in its 55-year history https://t.co/sGfEUBBmwO @angelicalavito"	"healthcare"	"comment"
"CI_ESRX"	". @Cigna is selling bonds to finance its #acquisition of Express Scripts Holding Co. in what’s expected to be one o… https://t.co/TxS2q7nJfG"	"healthcare"	"comment"
"CVS_AET"	"Heard on the Street: Drug Price Squeeze Is Driving CVS and Aetna Talks https://t.co/nD4wmrS5kK $CVS $AET"	"healthcare"	"support"
"AET_HUM"	"@HunDude Settlement coming... DOJ cannot risk losing ""Medicare competition"" argument at trial. $AET $HUM win, $ANTM $CI fails at trial"	"healthcare"	"comment"
"CVS_AET"	"The #Aetna CVS deal has more near term implications for #hospitals &amp; #Physicians — $AMZN could have longer term.… https://t.co/TQo310PosV"	"healthcare"	"comment"
"AET_HUM"	"MT @HCNow: Big5 Insurers tryin to merge N2 #oligopoly of just 3! #Anthem #Cigna @Aetna @Humana http://t.co/F8bEU0Tj14 http://t.co/CMxgIY7blT"	"healthcare"	"comment"
"CVS_AET"	"Vetical integration and uncommon partners are emerging: @cvspharmacy and @Aetna; @Cigna and Express Scripts; and… https://t.co/qtpbE58Z5R"	"healthcare"	"comment"
"AET_HUM"	"Aetna makes takeover proposal to Humana: http://t.co/9JNnTbjBPn $AET $HUM"	"healthcare"	"support"
"AET_HUM"	"Should the public get right to sign off on #Humana-#Aetna? https://t.co/0hpCIqd8Kc $AET $HUM"	"healthcare"	"comment"
"CVS_AET"	"CVS Is Reportedly In Talks To Acquire Aetna — #HuffPost #Business &amp; #Tech – Spoken Edition https://t.co/IkEhRYR3VF https://t.co/4tL8CX5thn"	"healthcare"	"support"
"AET_HUM"	"#Healthpayer Hospital group: Aetna-Humana merger would lessen Medicare Advantage competition: The American Hos... http://t.co/I2GxEG5rPw"	"healthcare"	"comment"
"CVS_AET"	"https://t.co/8Jgd5i0wgC : DOJ wants more information on $69 billion CVS Health and Aetna merger… https://t.co/l4BEpwEi5Y"	"healthcare"	"comment"
"ANTM_CI"	"Most read: Anthem does not plan to make divestitures in deal to acquire Cigna http://t.co/aUiy1riCZF"	"healthcare"	"comment"
"CVS_AET"	"Makes no sense. Caremark Cvs has been bad for everyone but Caremark Cvs. Caremark Cvs Aetna will be worse. https://t.co/4EOb765GMa"	"healthcare"	"unrelated"
"ANTM_CI"	"""Top 5 Ci Podcasts for Bid Professionals"" http://t.co/59gRD3K6sE - guest blog post by @AmplioSoftware http://t.co/ncFSaISPtQ"	"healthcare"	"unrelated"
"ANTM_CI"	"Daily Mail - Chelsea have initial £20.6million bid for Juan Cuadrado rejected by Fiorentina  http://t.co/COTOjscSHs #CI"	"healthcare"	"unrelated"
"CVS_AET"	"BDCVS News 6 August 2018  - https://t.co/3FpqM7wDsd
One Borough, One Bid, the latest Community Life Survey and load… https://t.co/aspdTdHWNA"	"healthcare"	"unrelated"
"ANTM_CI"	"Judge, Citing Harm to Customers, Blocks $48 Billion Anthem-Cigna Merger https://t.co/srQi52kaPB"	"healthcare"	"refute"
"AET_HUM"	"Aetna Inc Places Acquisition Bid For Humana - Press Telegraph (blog): Press Telegraph (blog)A... https://t.co/XO5TT5jrmG #ACCSphc #ACRCSI"	"healthcare"	"support"
"CVS_AET"	"Change is the only constant! 
Amazon and Whole Foods. CVS and Aetna. A scorecard of the biggest deals  - CNNMoney https://t.co/jahTNoAIXR"	"healthcare"	"comment"
"ANTM_CI"	"AMA: Proposed Anthem-Cigna deal would slash competition in SF, California http://t.co/6yJEPKUGpa"	"healthcare"	"comment"
"AET_HUM"	"Aetna &amp; Humana shareholders approved merger of the health plans into one of the largest health insurance companies: https://t.co/UPOXBCCzM2"	"healthcare"	"support"
"CVS_AET"	"CVS makes an offer to buy No. 3 U.S. health insurer Aetna for more than $66 billion: sources… https://t.co/csxongExcO"	"healthcare"	"support"
"AET_HUM"	"#Aetna DEALTALKU.S. government's bid to block insurance mergers could spawn new ones. Read more: https://t.co/YzBFpjyUu1 $AET"	"healthcare"	"comment"
"ANTM_CI"	"Arena Minerals Enters Into US$16 Millon Option Agreement With JOGMEC http://t.co/PJyAsbTbKN #CampLogistics"	"healthcare"	"unrelated"
"CVS_AET"	"New blog post – Three Thoughts on the CVS/Aetna Merger https://t.co/fuaiU6PZeS"	"healthcare"	"comment"
"ANTM_CI"	"Great to talk with @MHsmuchmore about Anthem-Cigna!  Insurance merger trials consider how to define markets https://t.co/UNlxZ4oS3Y"	"healthcare"	"comment"
"CVS_AET"	"$CVS $AET deal driven by $AMZN entering PBM space, what's next? We need to own the cust. relat. via doctors—Northwell's Ramon Soto #MHmktg"	"healthcare"	"comment"
"CVS_AET"	"Aetna Soars As CVS Health Deal Offer Could Top $70 Billion https://t.co/wxXcu76Zji"	"healthcare"	"comment"
"CVS_AET"	"Aetna is selling its Medicare prescription drug business in a deal that analysts say will help CVS Health complete… https://t.co/NREEOQipNS"	"healthcare"	"support"
"CVS_AET"	"How the DOJ's preliminary approval of CVS/Aetna merger could create the largest integrated delivery network, and wh… https://t.co/ayUqSpkSVH"	"healthcare"	"support"
"ANTM_CI"	"As Anthem-Cigna trial begins, a look back at the deal's key moments https://t.co/snDaHQniHb"	"healthcare"	"comment"
"CVS_AET"	"CVS' Aetna offer is all about staying ahead of Amazon https://t.co/8xbjc1CFZX https://t.co/BopimOZLzZ"	"healthcare"	"comment"
"ANTM_CI"	"Anthem-Cigna merger blocked by Federal Judge https://t.co/48DYcXDyjJ https://t.co/nJNlFmQYFC"	"healthcare"	"refute"
"ANTM_CI"	"Doctors says that if Anthem and @Cigna are allowed to merge it would limit competition in #Connecticut. https://t.co/Nnb1G2ZAmh"	"healthcare"	"comment"
"CVS_AET"	"@Tengrain Anthem wants to acquire Cigna. Buttering up the GOP? When Aetna's plan to acq Humana was denied, they left the ACA marketplace."	"healthcare"	"unrelated"
"CI_ESRX"	"CVS-Aetna, Cigna-Express Scripts mergers would lead to massive Part D consolidation https://t.co/1M6xvTGkF7 via… https://t.co/fjvkqqz4jl"	"healthcare"	"comment"
"ANTM_CI"	"@IanVanderwall @AaronLewisMusic I can have about 50,000people all in agreement your boy is a no talent, anthem bashing, joke= you too"	"healthcare"	"unrelated"
"ANTM_CI"	"The USDOJ is suing to block the #AnthemCigna &amp; #AetnaHumana #merger. https://t.co/9mAJ3U7PGu"	"healthcare"	"refute"
"AET_HUM"	"@MartinSGaynor Very interesting work - thanks. Question: in MN AET, HUM, UNH have very small commercial enroll - does that affect compare?"	"healthcare"	"unrelated"
"ANTM_CI"	"Anthem-Cigna Deal Assailed by #Hospitals on Blue Cross Power https://t.co/sHMKcLonVL #ABASAL #Anthem #Cigna #BCBS"	"healthcare"	"refute"
"CVS_AET"	".@Aetna, #AppleWatch &amp; the Integration of #Wearables in #Healthcare - https://t.co/MxQHScRqvt by @CentricDigital… https://t.co/hJGZiN1LcB"	"healthcare"	"unrelated"
"ANTM_CI"	"This summer expanding our list of insurance we accept in Virginia- @myUHC @Aetna @Anthem @Cigna @MagellanHealth @Medicare.gov @KaiserHealth"	"healthcare"	"unrelated"
"AET_HUM"	"Thoughtful look at the Aetna/Humana merger.  Thanks @ddiamond http://t.co/pTqGFT6g28"	"healthcare"	"comment"
"ANTM_CI"	"Singapore signs agreement to implement FATCA http://t.co/JdYeATtXY7"	"healthcare"	"unrelated"
"ANTM_CI"	"The secrets of the language acquisition! @Chinese #chinese #languageacquisition #languageinstruction #CI #comprehensibleinput #TCI"	"healthcare"	"unrelated"
"ANTM_CI"	"#Anthem Files Suit Against Cigna Seeking a Temporary Restraining Order to Enjoin #cigna from Terminating the Merger Agreement $ANTM $CI"	"healthcare"	"comment"
"CI_ESRX"	"Why Carl Icahn changed his mind on the Cigna–Express Scripts deal he once called a ‘travesty’ https://t.co/yuqBdGpHd9"	"healthcare"	"comment"
"AET_HUM"	"DIA SPDR DJ Industrial Average ETF Trust Bid
http://t.co/qrLNRIIjwt

$DIA $AAPL $EWW $AET #DIA #nasdaq #share"	"healthcare"	"unrelated"
"CVS_AET"	"#cre #grsgroup @noreenc_grs @kmay2000 CVS-Aetna Combination Signals Coming Intersection of Health Care and Retail R… https://t.co/I1a6ow0i8B"	"healthcare"	"comment"
"CVS_AET"	"Reading @beckershr CVS Health-Aetna deal could be reached Monday: 3 things to know https://t.co/lDLSptbKLW"	"healthcare"	"comment"
"ANTM_CI"	"New post added at Heartland Newsfeed - Anthem-Cigna merger rejected by judge https://t.co/0umyg8qja9"	"healthcare"	"refute"
"ANTM_CI"	"Anthem loses appeal to acquire Cigna, deal now effectively dead https://t.co/xYfxJDv7zT #antitrust"	"healthcare"	"refute"
"CVS_AET"	"CVS Health and Aetna, should the merger be allowed? Will it lead to a loss of competition in the market? Will consu… https://t.co/mQHS6ol9P0"	"healthcare"	"comment"
"AET_HUM"	"Aetna, Humana ink new NorCal deals with Hill Physicians, Dignity Health http://t.co/73SgCRBE1S"	"healthcare"	"unrelated"
"ANTM_CI"	"@bid_product check this new anthem by @iamayenyce ft @bigbenz5813 - ""MakeItHot "" 🔥🔥🔥
#MakeItHot  
https://t.co/VPHcZvGNfM"	"healthcare"	"unrelated"
"CI_ESRX"	"Carl Icahn warns @Cigna shareholders company is “dramatically overpaying” for acquisition of @ExpressScripts… https://t.co/hVVnyXrA82"	"healthcare"	"refute"
"CVS_AET"	"Three takeaways from the CVS - Aetna merger. Jump starting healthcare disruption. @forbeshealth https://t.co/7cQP4C1Hqi"	"healthcare"	"comment"
"CVS_AET"	"RBC: CVS’ Aetna deal is more than just a defense against Amazon $CVS $AET https://t.co/vvuSm2mx14 https://t.co/X3bpU7hstD"	"healthcare"	"comment"
"ANTM_CI"	"@UnionBrewing Tap Takeover - Anthem, Chessie, Duckpin, Snow Pants &amp; Black Eyed Saison!! http://t.co/YsCv0gpV2N"	"healthcare"	"unrelated"
"ANTM_CI"	"Hoosier Salon finally reaches agreement to move to #Carmel: http://t.co/tRidB8puBK"	"healthcare"	"unrelated"
"CVS_AET"	"So Aetna had to sell Medicare Part D division. They sold to WellCare , and WellCare give all their biz to CVS.  Doe… https://t.co/MkIqtqousX"	"healthcare"	"unrelated"
"ANTM_CI"	"BRIEF-#Cigna intends to evaluate its options regarding its merger agreement with Anthem. Read more: https://t.co/oRfGcXBM4S $CI"	"healthcare"	"comment"
"AET_HUM"	"AET Bid Size
See Here ---&gt; https://t.co/pbAsMpEMBb

$AET $CMS $WLK #investing"	"healthcare"	"unrelated"
"CI_ESRX"	"Fed Nearing Approval of Mergers: CVS-Aetna, Cigna-Express Scripts May Soon Merge https://t.co/dkJptJrsnL"	"healthcare"	"comment"
"AET_HUM"	"If the Aetna-Humana deal argument didn't work, the Anthem-Cigna deal has gotta be on deathwatch now."	"healthcare"	"comment"
"CI_ESRX"	"Cigna is selling bonds to finance Express Scripts deal https://t.co/Lofq9R3brX via @business https://t.co/Kww18bRWNl"	"healthcare"	"comment"
"ANTM_CI"	"$CI Anthem Inc To Acquire Cigna Corporation Amid Merger Flurry In Health Insurance ... http://t.co/iZi3ey1Xot"	"healthcare"	"support"
"ANTM_CI"	"Businesses Urged to Bid for a Share of £200 Million http://t.co/XNyi4kMfYQ"	"healthcare"	"unrelated"
"ANTM_CI"	"@shiftkey one thing that would be useful: a button ""merge if CI is going green"", but you already know that."	"healthcare"	"unrelated"
"ANTM_CI"	"Anthem Consulting: Bid Manager http://t.co/MIBxMBWRgN #marketingjobs #Jobs"	"healthcare"	"unrelated"
"AET_HUM"	"Analyst: Aetna acquisition of Humana or Cigna is imminent https://t.co/9DUBzLmyJz"	"healthcare"	"support"
"CI_ESRX"	"The U.S. Justice Department is  seeking more information in the Cigna-Express Scripts deal. https://t.co/Wbce8d5V3z https://t.co/FtIXjdJTdb"	"healthcare"	"refute"
"AET_HUM"	"4 #stocks that go ex-dividend tomorrow have listed options: $AET $HUM $KAI $POT #dividendcalendar #dividend… https://t.co/NAWChhXJGV"	"healthcare"	"unrelated"
"ANTM_CI"	"Aetna may acquire Humana or Cigna: An industry shake-up is apparently in the works as insurance giant Aetna is... http://t.co/kkYqvGe4ne"	"healthcare"	"support"
"CI_ESRX"	"Express Scripts and its standalone business model are under pressure as rivals form closer ties with health insurer… https://t.co/mhtp1ON2BC"	"healthcare"	"unrelated"
"ANTM_CI"	"First Asset Announces Acquisition by CI Financial Corp. https://t.co/AZOqyuWBc7"	"healthcare"	"unrelated"
"ANTM_CI"	"BREAKING: Anthem loses appeal over Cigna takeover https://t.co/amojHtOQ4t"	"healthcare"	"refute"
"ANTM_CI"	"My company just switched from @Cigna to @UnitedHealthGrp....Tennova will be dropped March 1 if no rate agreement https://t.co/SLq20xwdIw"	"healthcare"	"unrelated"
"AET_HUM"	"HUM Horizons BetaPro S&amp;P 500 VIX Short-Term Futures Bull Plus ETF Bid Size
http://t.co/4grZ35CWPE

$HUM $KMI $HACK $VRX #HUM #finance…"	"healthcare"	"unrelated"
"AET_HUM"	"IBM International Business Machines Bid
http://t.co/DTxDDFcpMY

$IBM $AET $TCN.TO $TTM #IBM #pennystocks #investing"	"healthcare"	"unrelated"
"ANTM_CI"	"mnarobot: BRIEF-Cigna intends to evaluate its options regarding its merger agreement with Anthem https://t.co/dBHMKTpXne #MandA #mergers"	"healthcare"	"comment"
"ANTM_CI"	"GLEN.L Anthem, Inc. Bid
Read More --&gt; https://t.co/AgKMhN7GIY

$GLEN.L $SEF $F #share"	"healthcare"	"unrelated"
"ANTM_CI"	"Anthem Inc To Acquire Cigna Corporation Amid Merger Flurry In Health Insurance Industry http://t.co/3Bd9trR1pP"	"healthcare"	"support"
"AET_HUM"	"How will @Aetna @Humana merger fare under antitrust scrutiny? Aetna CEO says they're ready for it: http://t.co/BggzpzPyw3"	"healthcare"	"comment"
"CVS_AET"	"Anthem to acquire FL Medicare Adv plan, Aetna links with Vanderbilt Health for ACO—15 payer key notes https://t.co/W6b9G9LPiR by @beckershr"	"healthcare"	"unrelated"
"CVS_AET"	"How CVS stores will change after Aetna deal https://t.co/DEUC7klCTb"	"healthcare"	"comment"
"ANTM_CI"	"#PIA No Anthem-Cigna Ruling This Year. Read Blog: https://t.co/vEBC0AVl23"	"healthcare"	"comment"
"ANTM_CI"	"So big deal, IBMWatson will index imaging at Merge Heatlh..remember Anthem is still an IBM licensed Watson reseller too:)"	"healthcare"	"unrelated"
"ANTM_CI"	"Mount Carmel Health Partners, Anthem enter coordination agreement to lower medical bills http://t.co/dlQYhqcHXw"	"healthcare"	"unrelated"
"AET_HUM"	"UnitedHealth Says Aetna Doesn't Need Bid Info In Merger Row https://t.co/VykzkfOy8H"	"healthcare"	"unrelated"
"CVS_AET"	"So, #CVS, #Aetna, there's just one more thing to say here:

You've defrauded millions of #Medicare and #Medicaid pa… https://t.co/bJ0Do6qlEo"	"healthcare"	"comment"
"ANTM_CI"	"Waiting for CI before clicking merge button? Let your bot do that instead of you! https://t.co/tvEKCWYMSa"	"healthcare"	"unrelated"
"AET_HUM"	".@Aetna: #ACA exchange withdrawal was due to financial losses, not retaliation over DOJ blocking #AetnaHumana merger https://t.co/5NESCjrqGQ"	"healthcare"	"comment"
"CVS_AET"	"$CVS and $AET merger still needs approval from NY State. https://t.co/fYKbkWVzX4"	"healthcare"	"comment"
"CVS_AET"	"#CVS and #Aetna merger a disruptive sign of the #future - ""CVS Health, ExpressScripts &amp; United Healthcare – own the… https://t.co/2AR92SNvtx"	"healthcare"	"comment"
"CI_ESRX"	"This Express Scripts acquisition by Cigna, if it actually happens, would be massive. And if it collapses..."	"healthcare"	"comment"
"CI_ESRX"	"Pharmacy Community Reacts to Cigna/Express Scripts Deal https://t.co/EkUqafpwta"	"healthcare"	"comment"
"ANTM_CI"	"@sellout If a CI build fails on the dmz, then the merge which triggered it needs to be reverted before anything else gets integrated."	"healthcare"	"unrelated"
"AET_HUM"	"$AET will hold a special shareholder meeting October 19, 2015  to approve the Humana $HUM acquisition http://t.co/e5ToQYCKdf"	"healthcare"	"support"
"ANTM_CI"	"$ANTM $CI deal could be announced as early as tomorrow"	"healthcare"	"support"
"ANTM_CI"	"Anthem, Cigna and Aetna face possible rate cuts if mergers hit too many regulatory, lending hurdles. https://t.co/viSFuBNd5c"	"healthcare"	"comment"
"ANTM_CI"	"@alexmuller @githubstatus I just notice that
it's really annoying as you can't merge PR in rows
And need to wait for ci
Any solution ?"	"healthcare"	"unrelated"
"AET_HUM"	"Calif. managed-care regulator OKs Aetna-Humana deal, says Anthem-Cigna merger remains under review $ANTM $AET $CI @KHNews"	"healthcare"	"support"
"CVS_AET"	"CVS' Larry Merlo defends rebates, touts pending Aetna deal https://t.co/sIo4TsgZQ5"	"healthcare"	"support"
"AET_HUM"	"TVIX Canopy Growth Corp. Bid Size
https://t.co/CjgtnKtBU9

$TVIX $CVG $AET $KMI #TVIX #tradeideas #invest"	"healthcare"	"unrelated"
"CVS_AET"	"*AETNA SHOULD BE BOUGHT ON ANY MATERIAL WEAKNESS, JPMORGAN SAYS
$AET $CVS"	"healthcare"	"unrelated"
