dataset,subdataset,sentence,flag,Bert,Distilbert,Roberta,Status
SemEval_2014,ambience_ambience,"Best Chinese on the Upper East, prompt delivery, good value.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Best Indian food I have ever eaten.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Best things to order are from the grill (Churrasco and Ribs).,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Both a number of the appetizer and pasta specials were amazing.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Coffee is a better deal than overpriced Cosi sandwiches.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Cool atmosphere but such a let down.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Could have had better for 1/3 the price in Chinatown.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Curioni's Pizza has been around since the 1920's.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Definitely try the calamari, any pasta, or even the Sliced steak entree.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Dessert was also to die for!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Desserts are almost incredible: my personal favorite is their Tart of the Day.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Desserts include flan and sopaipillas.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Did I mention that the coffee is OUTSTANDING?,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Dieters stick to salads or indulge in vegetarian platters.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Disappointingly, their wonderful Saketini has been taken off the bar menu.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Dishes denoted as ""Roy's Classics"" (marked on the menu with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Do yourself a favor and avoid this place at ALL COST!,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"El Nidos one of the best restaurants in New York which I've ever been to, has a great variety of tasty, mouth watering pizza's.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Everything is very cheap.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Favourites include: potato spinach gnocchi and the lamb.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Finally a curry that I can eat, enjoy and not suffer from gastritis from 3 hours later.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Finally let into the store 5 at a time, to buy expensive slices from a harried staff.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Food is always fresh and hot- ready to eat!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"For a savory take on the soup and sandwich meal, try the hot and sour soup.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"From the erbazzone emiliana to the mostarda on the cheese plate, the dishes at this restaurant are all handled with delicate care.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Generously garnished, organic grilled burgers are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Glechik might be way too tiny for a restaurant by Russian standards, but it is cozy and the food is simply GREAT.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Go for the Seafood Paella for two.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Go here if you want fresh and tasty salads of any type you can imagine.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Go spend your money somewhere that really wows you.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Go with the specials, and stay away from the salmon. ",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Good cake BUT: it was not the best cake i've ever had, and definately not worth standing outside on the sidewalk being herded like cattle by indifferent and overworked employees.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Good food at the right price, what more can you ask for.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Good for a quick sushi lunch.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Great burgers, grilled cheeses and french fries.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Great food, great drinks, nice dining atmosphere.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Half a chicken with a mountain of rice and beans for $6.25.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Harumi Sushi has the freshest and most delicious array of sushi in NYC.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Has the warmth of a family local yet it is a great place to watch sporting events.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Have to tell you: Not at all impressed.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,How can hope to stay in business with service like this?,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,How can they survive serving mediocre food at exorbitant prices?!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,How have I never been to Agave before?,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I also recommend the garlic knots.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I always find myself asking the waiter to make something bland and different than what is on the menu.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I asked for a simple medium rare steak.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I discovered Applebees when I went away to college in VA.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"I found the food to be just as good as its owner, Da Silvano, just much less expensive.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I had roast chicken and a salad.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I have gone back to Siam Square many times since and everytime I am very satisfied overall.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I have to say they have one of the fastest delivery times in the city.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"I highly reccomend the grand marnier shrimp, it's insanely good.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I never had an orange donut before so I gave it a shot.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I ordered from here last week.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"I reccomend the fried pork dumplings, the orange chicken/beef, and the fried rice.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I recomend the chicken milanese.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I recommend any of their salmon dishes......,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"I recommend the black roasted codfish, it was the best dish of the evening.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I started going to dosa hut more after that.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I think the meatball parm is good.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I usually get one the Vietnamese Beef Noodle Soup.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I was highly disappointed by their service and food.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I was pleasently surprised at the taste.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I was starving and the small portions were driving me crazy!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I wasn't impressed and it wasn't SPICEY????,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I went for restaurant week and ordered off the prix fixe menu,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I went there with a few friends and will return.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I went this past Saturday and had a excellent meal of consisting of a braised lamb shank with mashed potatoes.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I went to Common Stock for brunch and I was so impressed.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I would only go for the coffee which is way better than Starbucks or the like.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,I'm looking forward to going back soon and eventually trying most everything on the menu!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"I've eaten at all three locations and I always love, love the food, the service is always wonderful and the prices are really reasonable.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"If you're looking to taste some great Indian food and want good service, definitely visit Curry Leaf.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"In fact, this was not a Nicoise salad and was barely eatable.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Intimate but charming interior with extremely friendly and attentive service.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It also has lots of other Korean dishes that are affordable and just as yummy.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"It doesn't look like much on the outside, but the minute you walk inside, it's a whole other atmosphere.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"It first came well done, and I politely sent it back.",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It had been awhile and I forgot just how delicious crepes can be.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It took 100 years for Parisi to get around to making pizza (at least I don't think they ever made it before this year)...but it was worth the wait.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It took a bigger bite from my wallet than my appetite - I would not reccomend this to anyone that I would want to talk to me again!!,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It took about 2 1/2 hours to be served our 2 courses.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It was delicious and large!,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It was delish and I didn't feel bad eating it.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"It was good, but none of the flavors WOW.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,It's eaten with black vinegar and shredded ginger.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"It's just good food, nothing more and that's all we want!",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,MY date and I both ordered the Branzini and both felt the fish was very average.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Most importantly, it is reasonably priced.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Most of the sandwiches are made with soy mayonaise which is actually pretty good.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy lunch.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My favs here are the Tacos Pastor and the Tostada de Tinga...,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My friend had a burger and I had these wonderful blueberry pancakes.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My friend told me about this restaurant for a year before he finally took me this weekend.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,My personal favorite is Nick and Joe's.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"My vegetable risotto was burnt, and infused totally in a burnt flavor.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Not because I was pregnant, but the food here is always delicious.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Not only did they have amazing, sandwiches, soup, pizza etc, but their homemade sorbets are out of this world!",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,One caveat: Some of the curried casseroles can be a trifle harsh.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Over priced, overrated....stay away!",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Perfectly al dente pasta, not drowned in sauce -- generous portions.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Pizzas were excellent in addition to appetizers and main courses.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Quartino is my favoriate resturant in NYC.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Reasonably priced with very fresh sushi.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"SUM IT: local investment bankers like it, try for yourself at least once.",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Save room for the desserts! ;-),explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Service was good and so was the atmosphere.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Simple healthy unglamorous food cheap.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,So for a filling and healthy meal give it a go.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Somewhat disappointing wine list (only new vintages.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Stay with the roasted chickens and you'll be fine.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Sushi so fresh that it crunches in your mouth.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The $72 Delmonico steak had to be sent back because it was not cooked to order.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The Deco and ambiance was really romantic.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The Sashimi portion are big enough to appease most people, but I didn't like the fact they used artifical lobster meat.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The Yellowfin Tuna and Calf's liver are my favorites!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The ambiance was fine, a little loud but still nice and romantic.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The ambiance was pretty cool, but not worth the hassle.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The ambience is also more laid-back and relaxed.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The atmosphere is attractive, but a little uncomfortable.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The atmosphere is warm, comfortable, artsy and sexy.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The atmosphere takes you to that place, the place many dream of.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The atmosphere was nice but it was a little too dark.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The avocado salad is a personal fave.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The bread is top notch as well.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The caeser salad was great.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The chicken and falafel platters were nondescript combinations with fresh leaf salad.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The chocolate raspberry cake is heavenly- not too sweet, but full of flavor.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The closest that I got was the Cherry Marscapone, but they were out of it that day.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The cold sesame noodles, which are a freebie when you order $10+, are delectable.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The crab cakes are delicious and the BBQ rib was perfect.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The crowd was older and the restaurant is very cramped, but it has old school charm.",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The design is very intimate and romantic.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The downstairs bar scene is very cool and chill...,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The falafal was rather over cooked and dried but the chicken was fine.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The fettucino alfredo was amazing.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The foie gras was sweet and luscious.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The food was delicious and clearly fresh ingredients were used.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The food was extremely tasty, creatively presented and the wine excellent.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The food--though mostly deep-fried--is simple and satisfying.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The french fries -- with the kalmata dip were terrific!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The fried calamari was even better!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The gnocchi literally melts in your mouth!,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The ground chickpea soup we sampled as a starter tasted somewhat thin.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The main draw of this place is the price.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The only drawback is that it's a little pricey.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The pasta primavera was outstanding as well, lots of fresh veggies.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The pastas were pretty good.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The pizza's are made fresh, crispy, and ready to serve.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The portions of the food that came out were mediocre.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The quality of the meat was on par with your local grocery store.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The restaurant was quiet and intimate.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The room is a gorgeous, bi-level space and the long bar perfect for a drink.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The sangria's - watered down.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The sauce is excellent (very fresh) with dabs of real mozzarella.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The sauce is zesty and flavorful and the crust is nice and crispy.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"The sauce may not be for everyone, since it is distintive.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The space is traditional in feel.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The spicy mussels are a highlight.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The steak melted in my mouth.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The sushi is cut in blocks bigger than my cell phone.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The sushi is reasonably priced and fresh.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,explicit,True,True,True,Correct
