dataset,subdataset,sentence,flag,Bert,Distilbert,Roberta,Status
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I never had an orange donut before so I gave it a shot.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I recomend the chicken milanese.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I recommend any of their salmon dishes......,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I usually get one the Vietnamese Beef Noodle Soup.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I went for restaurant week and ordered off the prix fixe menu,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I would only go for the coffee which is way better than Starbucks or the like.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I'm in love with the lobster ravioli!,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I've had better Japanese food at a mall food court.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,If you are a Tequila fan you will not be disappointed.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"If you're in the neighborhood, definitely stop by for a great meal.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It's cute and simple and I loved it.,implicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,MY date and I both ordered the Branzini and both felt the fish was very average.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,My favs here are the Tacos Pastor and the Tostada de Tinga...,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Over priced, overrated....stay away!",implicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"So we sat at the bar, the bartender didn't seem like he wanted to be there.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"The ambiance was pretty cool, but not worth the hassle.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,The food is consistant and good but how it got name Best Diner In Manhattan is beyond me.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,This place has the best pizza.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,We always enjoy the pizza.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,We ordered a glass of wine and were finished eating and paying before the wine came.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"We went there, no one greeted us.",implicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"You must try Odessa stew or Rabbit stew; salads-all good; and kompot is soo refreshing during the hot summer day (they make it the way my mom does, reminds me of home a lot).",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,i dont know what some people who rave about this hot dog are talking about.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,i have eaten here on a different occasion - the food is mediocre for the prices.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,And even more so unpleasant because it was so costly for such an unpleasant experience.,implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Bukhara Grill, the tagline says it all.. ""INDIAN SPICE RAVE""",explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"But nonetheless--great spot, great food.",explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Everything was going good until we got our meals.,implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"For me dishes a little oily, but overall dining experience good.",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Going to Bark is always worth the train ride, and will make your tongue and belly very happy!",explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Highly impressed from the decor to the food to the hospitality to the great night I had!,implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.",explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"I was so stunned, and I left the dinner hungry and majorly disappointing.",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"If you go here, do it on his off-night.",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,More Williamsburg Garbage,implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Pacifico is a great place to casually hang out.,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"The food was excellent as well as service, however, I left The Four Seasons very dissappointed.",explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,The place is beautiful!,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,There is something about their atmosphere that makes me come back nearly every week.,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,This place has ruined me for neighborhood sushi.,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,This place survives on reputation alone.,explicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Very, very nice",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Wish NY had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"never swaying, never a bad meal, never bad service...",implicit,True,True,True,Misclassified
SemEval_2015,RESTAURANT#GENERAL_RESTAURANT#GENERAL,not only is the food,implicit,True,True,True,Misclassified
SemEval_2016,FOOD#QUALITY_FOOD#QUALITY,– The pepperoni's cut real thick--Yum.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,A perfect place to take out of town guests any time of the year.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,AMAZING.,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Always a winner.,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Always good.,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Endless fun, awesome music, great staff!!!",implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Go with some friends, wait the half hour or so with a cup of joe, and enjoy more than your average breakfast.",implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"I guarantee you won't be disappointed, there's also valet parking.",implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,I just found out that you can have the place to yourself on nights and weekends for a private party - can't wait to celebrate my next birthday there.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,I love breakfast here.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,I would go back for the wine experience alone.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,I'm astonished that this restaurant is categorized as $$$ rather than $$$$.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"If there is a line very day of the week for the entire time a place is open, you know it is great.",explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"If you can, come to this place by boat and make it a whole evening.",explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,It was absolutely amazing.,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,It was like dining at a completely different restaurant.,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Its worth the wait, especially since they'll give you a call when the table is ready.",implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Much more than just a great view!,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Ok.... – Maybe I went in on someone's bad day....,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Once you're inside, the real experience begins.",implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,Perfection.,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"Perhaps now, Scooner or Later falls into the ""Dive"" category.",explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"That's a huge compliment, especially in the fickled restaurant business, ...enough already!",implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,This place is charming and relaxing.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"We are locals, and get the feeling the only way this place survives with such average food is because most customers are probably one-time customer tourists.",explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).",implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"best restaurant in the world, great decor, great customer service, friendly manager",explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,i highly recommend this place to all that want to try indain food for the first time.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,– Best Mexican place for lunch in the financial district.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,– I really enjoyed my meal here.,explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.",explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,"– It is sad to see a place that was once ""THE"" place to meet and eat for Bfast or Lunch, now be the place that is a big ""DONT BOTHER.""",explicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,– Not bad.,implicit,True,True,True,Misclassified
SemEval_2016,RESTAURANT#GENERAL_RESTAURANT#GENERAL,– i have been eating at this place for over 8 years now and i have never had one bad meal.,explicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,"First off, the food came fast and all together :) i like that... i hate the pretentiousness of things coming in one after the other.",implicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,I have a but here - there was a bathroom attendant in the restroom which was odd.,explicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,I rejected it because in the process of attempting to fix the eggs they broke something else in the dish and I was too frustrated to continue.,explicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,I went home & looked them up online again where I discovered there is a link for a give away that doesn't work so emailed the restaurant about the non existent service & deceptive link.,explicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,None that I can think of.,implicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,"On my meal I had to send back my eggs for a simple request of breaking the yokes before cooking, and would have had to send them back again if I hadn't rejected the meal all together.",explicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW,explicit,True,True,True,Misclassified
SemEval_2016,SERVICE#GENERAL_SERVICE#GENERAL,– ...and the best summertime deck experience--they will even bring you a blanket if you get cold in the Seattle evening weather.,implicit,True,True,True,Misclassified
