feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score,median_lr_coef,median_xgb_coef,linear_occurrences,_merge,mi_rank
anger,0.0136938415194159,0.0128620582817588,0.0120731322761218,0.0,0.046955835175183,13,0.9392585903321728,,0.0254186037927865,13,both,22
sentence_count,0.013200328231826,0.0128057705425003,0.0098923010141258,0.0,0.0454854552798809,13,0.9701100092061028,,0.025493798777461,13,both,23
pronoun_ratio,0.0119196599988299,0.0129790883772706,0.0091241050970498,0.0,0.0385789759858812,13,1.088880754865887,,0.0338522680103778,13,both,24
adv_ratio,0.0118701781005036,0.0124045187218656,0.0075548165171985,0.0,0.0385726037522169,13,1.0450153836646527,,0.0151353226974606,13,both,25
hapax_legomena,0.0113158362747467,0.010083203370487,0.0080537347562472,0.0,0.0297073498889643,13,0.8910701008452602,,0.0172630697488784,13,both,26
sentence_length_variation,0.0099862276459061,0.0083515750693013,0.0135892183595132,0.0,0.0212786645039313,13,0.836309301713648,,0.021957429125905,13,both,27
D_ratio,0.0099313280573483,0.0107083792643335,0.0090332615327952,0.0,0.0322241588404292,13,1.0782424266420505,,,13,both,28
hedge_E_count,0.0089534438837626,0.0120258412244687,0.0,0.0,0.0325764946155022,13,1.3431525768847388,,0.0339202806353569,13,both,29
I_ratio,0.0087714856472073,0.009423530829817,0.0083440536695873,0.0,0.0274809423905564,13,1.0743369149577555,,,13,both,30
punctuation_usage,0.0085941723024096,0.0122366158822909,0.0,0.0,0.039217392765138,13,1.423827153065108,,0.022418325766921,13,both,31
avg_dependency_depth,0.0082050344392582,0.0112615743029355,0.0,0.0,0.0304385608569859,13,1.3725200529388215,,,13,both,32
doubt_verbs_count,0.008165113398007,0.0100080911791969,0.0048241557950516,0.0,0.0326426107875186,13,1.2257136785926093,,0.0408705621957778,13,both,33
sadness,0.0067355494836962,0.0083615132862506,0.0021132738533828,0.0,0.0285672900258018,13,1.2414003202693715,,0.0204713195562362,13,both,34
hedge_D_count,0.0064821679780254,0.007674610115054,0.0026871358172948,0.0,0.0209961226925479,13,1.1839573027220265,,0.0371916741132736,13,both,35
doubt_adjectives_count,0.0060400474742967,0.0114430143034626,0.0,0.0,0.0407567839683922,13,1.8945239010385329,,0.04443736560642715,13,both,36
doubt_adverbs_count,0.0060077747879664,0.0088180622730948,0.0,0.0,0.028448806857783,13,1.4677751054778854,,0.0220065005123615,13,both,37
certainty_verbs_count,0.0059617684657745,0.0061054076792443,0.0060950505905776,0.0,0.0194573756276887,13,1.0240933901231457,,0.0242209769785404,13,both,38
E_ratio,0.0055833996122784,0.0081913344887471,0.0,0.0,0.0259262627524221,13,1.467087268970255,,0.0502708368003368,13,both,39
N_ratio,0.0050833664562004,0.0070499679525438,0.0,0.0,0.0190828515204897,13,1.3868699046759925,,0.0401723831892013,13,both,40
hedge_I_count,0.0046671182662019,0.0058467263798029,0.0,0.0,0.0152548005716719,13,1.2527487083718172,,,13,both,41
certainty_adjectives_count,0.00419892583215,0.0065461304330148,0.0,0.0,0.0195332979297537,13,1.559001205235141,,0.0250518172979354,13,both,42
type_token_ratio,0.0039049332923987,0.0042126577358261,0.0018541575270658,0.0,0.012072849181528,13,1.0788040205517544,,0.0276026986539363,13,both,43
hedge_N_count,0.0029275068152243,0.0071748627173293,0.0,0.0,0.0272637088460598,13,2.450844069778728,,0.0538958460092544,13,both,44
